,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,(주)LS,동일인측,동일인,동일인,구자홍,845200,2.62,-,-,845200,2.62
1,비금융회사,(주)LS,동일인측,친족,배우자/혈족1촌,구나윤,78835,0.24,-,-,78835,0.24
2,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구다영,63400,0.20,-,-,63400,0.20
3,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구본규,286219,0.89,-,-,286219,0.89
4,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구본혁,529000,1.64,-,-,529000,1.64
5,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구소영,63400,0.20,-,-,63400,0.20
6,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구윤희,275000,0.85,-,-,275000,0.85
7,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구은희,123250,0.38,-,-,123250,0.38
8,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구자균,694340,2.16,,,694340,2.16
9,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구자열,803739,2.50,-,-,803739,2.50
10,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구자엽,598200,1.86,-,-,598200,1.86
11,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구자용,771440,2.40,-,-,771440,2.40
12,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구자은,1368600,4.25,-,-,1368600,4.25
13,비금융회사,(주)LS,동일인측,친족,혈족2~4촌,구재희(KOO JAE HEE),250000,0.78,-,-,250000,0.78
14,비금융회사,(주)LS,동일인측,친족,혈족5~6촌,구동휘,863500,2.68,-,-,863500,2.68
15,비금융회사,(주)LS,동일인측,친족,혈족5~6촌,구민기,58500,0.18,-,-,58500,0.18
16,비금융회사,(주)LS,동일인측,친족,혈족5~6촌,구소연,209950,0.65,-,-,209950,0.65
17,비금융회사,(주)LS,동일인측,친족,혈족5~6촌,구소희,209950,0.65,-,-,209950,0.65
18,비금융회사,(주)LS,동일인측,친족,혈족5~6촌,구원경,58200,0.18,-,-,58200,0.18
19,비금융회사,(주)LS,동일인측,친족,혈족5~6촌,구은성,123000,0.38,-,-,123000,0.38
20,비금융회사,(주)LS,동일인측,친족,혈족5~6촌,구은아(KOO EUN AH),123000,0.38,-,-,123000,0.38
