,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,엘지,동 일 인 측,동일인,동일인,구광모,25881884.0,15.00%,0.0,0.00%,25881884.0,14.72%
1,비금융회사,엘지,동 일 인 측,친족,배우자/혈족1촌,김영식,7253100.0,4.20%,0.0,0.00%,7253100.0,4.12%
2,비금융회사,엘지,동 일 인 측,친족,혈족2~4촌,구본준,13317448.0,7.72%,0.0,0.00%,13317448.0,7.57%
3,비금융회사,엘지,동 일 인 측,친족,혈족2~4촌,구연수,1237064.0,0.72%,0.0,0.00%,1237064.0,0.70%
4,비금융회사,엘지,동 일 인 측,친족,혈족2~4촌,구연제,450386.0,0.26%,0.0,0.00%,450386.0,0.26%
5,비금융회사,엘지,동 일 인 측,친족,혈족2~4촌,구자경,1648887.0,0.96%,0.0,0.00%,1648887.0,0.94%
6,비금융회사,엘지,동 일 인 측,친족,혈족2~4촌,구형모,1041857.0,0.60%,0.0,0.00%,1041857.0,0.59%
7,비금융회사,엘지,동 일 인 측,친족,혈족5~6촌,유웅선,84955.0,0.05%,0.0,0.00%,84955.0,0.05%
8,비금융회사,엘지,동 일 인 측,친족,혈족5~6촌,유준선,57224.0,0.03%,0.0,0.00%,57224.0,0.03%
9,비금융회사,엘지,동 일 인 측,친족,혈족5~6촌,유희영,117093.0,0.07%,0.0,0.00%,117093.0,0.07%
10,비금융회사,엘지,동 일 인 측,친족,인척4촌이내,김은미,94299.0,0.05%,0.0,0.00%,94299.0,0.05%
11,비금융회사,엘지,동 일 인 측,친족,친족 합계,,25302313.0,14.66%,0.0,0.00%,25302313.0,14.39%
12,비금융회사,엘지,동 일 인 측,비영리법인,비영리법인,엘지연암문화재단,572525.0,0.33%,0.0,0.00%,572525.0,0.33%
13,비금융회사,엘지,동 일 인 측,비영리법인,비영리법인,엘지연암학원,3675742.0,2.13%,0.0,0.00%,3675742.0,2.09%
14,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,권영수,10000.0,0.01%,0.0,0.00%,10000.0,0.01%
15,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,김영섭,3050.0,0.00%,10.0,0.00%,3060.0,0.00%
16,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,김영준,82.0,0.00%,0.0,0.00%,82.0,0.00%
17,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,류경준,33.0,0.00%,0.0,0.00%,33.0,0.00%
18,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,박종일,2000.0,0.00%,200.0,0.01%,2200.0,0.00%
19,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,백진무,26.0,0.00%,0.0,0.00%,26.0,0.00%
20,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,석영한,1360.0,0.00%,0.0,0.00%,1360.0,0.00%
21,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,윤호영,4.0,0.00%,0.0,0.00%,4.0,0.00%
22,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,이규홍,5000.0,0.00%,0.0,0.00%,5000.0,0.00%
23,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,이동언,400.0,0.00%,0.0,0.00%,400.0,0.00%
24,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,이동열,4000.0,0.00%,0.0,0.00%,4000.0,0.00%
25,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,정현옥,10.0,0.00%,0.0,0.00%,10.0,0.00%
26,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,정호영,256.0,0.00%,0.0,0.00%,256.0,0.00%
27,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,황준오,30.0,0.00%,0.0,0.00%,30.0,0.00%
28,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,구영수,0.0,0.00%,15.0,0.00%,15.0,0.00%
29,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,김인철,100.0,0.00%,0.0,0.00%,100.0,0.00%
30,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,송영숙,30.0,0.00%,0.0,0.00%,30.0,0.00%
31,비금융회사,엘지,동 일 인 측,등기된 임원,등기된 임원,허성,22.0,0.00%,0.0,0.00%,22.0,0.00%
32,비금융회사,엘지,동 일 인 측,자기주식,자기주식,엘지,93789.0,0.05%,6810.0,0.21%,100599.0,0.06%
33,비금융회사,엘지,동 일 인 측,계열회사,계열회사,,0.0,0.00%,0.0,0.00%,0.0,0.00%
34,비금융회사,엘지,동 일 인 측,동일인측 합계,동일인측 합계,,55552656.0,32.19%,7035.0,0.21%,55559691.0,31.59%
35,비금융회사,엘지,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,구본식,7728609.0,4.48%,0.0,0.00%,7728609.0,4.39%
36,비금융회사,엘지,기타 주주,기타,기타,-,109275866.0,63.33%,3307642.0,99.79%,112583508.0,64.01%
37,비금융회사,엘지,총계,총계,총계,,172557131.0,100.00%,3314677.0,100.00%,175871808.0,100.00%
38,비금융회사,엘지화학,동 일 인 측,동일인,동일인,구광모,,0.00%,,0.00%,0.0,0.00%
39,비금융회사,엘지화학,동 일 인 측,친족,배우자/혈족1촌,,,0.00%,,0.00%,0.0,0.00%
40,비금융회사,엘지화학,동 일 인 측,친족,혈족2~4촌,,,0.00%,,0.00%,0.0,0.00%
41,비금융회사,엘지화학,동 일 인 측,친족,혈족5~6촌,,,0.00%,,0.00%,0.0,0.00%
42,비금융회사,엘지화학,동 일 인 측,친족,인척4촌이내,,,0.00%,,0.00%,0.0,0.00%
43,비금융회사,엘지화학,동 일 인 측,친족,친족 합계,,0.0,0.00%,0.0,0.00%,0.0,0.00%
44,비금융회사,엘지화학,동 일 인 측,비영리법인,비영리법인,엘지연암문화재단,20746.0,0.03%,,0.00%,20746.0,0.03%
45,비금융회사,엘지화학,동 일 인 측,등기된 임원,등기된 임원,강신익,0.0,0.00%,50.0,0.00%,50.0,0.00%
46,비금융회사,엘지화학,동 일 인 측,등기된 임원,등기된 임원,강창범,393.0,0.00%,0.0,0.00%,393.0,0.00%
47,비금융회사,엘지화학,동 일 인 측,등기된 임원,등기된 임원,김동철,90.0,0.00%,0.0,0.00%,90.0,0.00%
48,비금융회사,엘지화학,동 일 인 측,등기된 임원,등기된 임원,김승환,1530.0,0.00%,0.0,0.00%,1530.0,0.00%
49,비금융회사,엘지화학,동 일 인 측,등기된 임원,등기된 임원,김용술,50.0,0.00%,0.0,0.00%,50.0,0.00%
