,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,LS,동일인측,동일인,동일인,구자홍,895200,2.78,-,-,895200.0,2.78
1,비금융회사,LS,동일인측,친족,배우자/혈족1촌,구나윤,68100,0.21,-,-,68100.0,0.21
2,비금융회사,LS,동일인측,친족,배우자/혈족1촌,구본웅,174740,0.54,-,-,174740.0,0.54
3,비금융회사,LS,동일인측,친족,혈족2~4촌,구다영,9050,0.03,-,-,9050.0,0.03
4,비금융회사,LS,동일인측,친족,혈족2~4촌,구본규,204630,0.64,-,-,204630.0,0.64
5,비금융회사,LS,동일인측,친족,혈족2~4촌,구본혁,412054,1.28,-,-,412054.0,1.28
6,비금융회사,LS,동일인측,친족,혈족2~4촌,구소영,9050,0.03,-,-,9050.0,0.03
7,비금융회사,LS,동일인측,친족,혈족2~4촌,구윤희,212178,0.66,-,-,212178.0,0.66
8,비금융회사,LS,동일인측,친족,혈족2~4촌,구은희,77200,0.24,-,-,77200.0,0.24
9,비금융회사,LS,동일인측,친족,혈족2~4촌,구자균,694340,2.16,,,694340.0,2.16
10,비금융회사,LS,동일인측,친족,혈족2~4촌,구자열,803739,2.50,-,-,803739.0,2.50
11,비금융회사,LS,동일인측,친족,혈족2~4촌,구자엽,698200,2.17,-,-,698200.0,2.17
12,비금융회사,LS,동일인측,친족,혈족2~4촌,구자용,771440,2.40,-,-,771440.0,2.40
13,비금융회사,LS,동일인측,친족,혈족2~4촌,구자은,1281760,3.98,-,-,1281760.0,3.98
14,비금융회사,LS,동일인측,친족,혈족2~4촌,구재희(KOO JAE HEE),250000,0.78,-,-,250000.0,0.78
15,비금융회사,LS,동일인측,친족,혈족5~6촌,구동휘,677880,2.05,-,-,677880.0,2.05
16,비금융회사,LS,동일인측,친족,혈족5~6촌,구민기,43680,0.14,-,-,43680.0,0.14
