,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,금호석유화학,동일인측,동일인,동일인,박찬구,2039629,6.69%,-,-,2039629.0,6.09%
1,비금융회사,금호석유화학,동일인측,친족,배우자/혈족1촌,박준경,2183120,7.17%,-,-,2183120.0,6.52%
2,비금융회사,금호석유화학,동일인측,친족,배우자/혈족1촌,박주형,250323,0.82%,-,-,250323.0,0.75%
3,비금융회사,금호석유화학,동일인측,친족,혈족2~4촌,박철완,3046782,10.00%,-,-,3046782.0,9.10%
4,비금융회사,금호석유화학,동일인측,친족,친족 합계,-,5480225,17.99%,-,-,5480225.0,16.36%
5,비금융회사,금호석유화학,동일인측,등기된 임원,등기된 임원,문동준,1071,0.00%,-,-,1071.0,0.00%
6,비금융회사,금호석유화학,동일인측,등기된 임원,등기된 임원,박진용,570,0.00%,-,-,570.0,0.00%
7,비금융회사,금호석유화학,동일인측,등기된 임원,등기된 임원,고영도,350,0.00%,-,-,350.0,0.00%
8,비금융회사,금호석유화학,동일인측,등기된 임원,등기된 임원,김민호,100,0.00%,-,-,100.0,0.00%
9,비금융회사,금호석유화학,동일인측,등기된 임원,등기된 임원,송유선,673,0.00%,-,-,673.0,0.00%
10,비금융회사,금호석유화학,동일인측,등기된 임원,등기된 임원,이기민,51,0.00%,-,-,51.0,0.00%
11,비금융회사,금호석유화학,동일인측,등기된 임원,등기된 임원,김용우,5,0.00%,-,-,5.0,0.00%
12,비금융회사,금호석유화학,동일인측,자기주식,자기주식,금호석유화학,5592528,18.36%,-,-,5592528.0,16.70%
13,비금융회사,금호석유화학,동일인측,동일인측 합계,동일인측 합계,-,13115202,43.05%,-,-,13115202.0,39.16%
14,비금융회사,금호석유화학,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
15,비금융회사,금호석유화학,기타주주,기타,기타,-,17352489,56.95%,3023486,100.00%,20375975.0,60.84%
16,비금융회사,금호석유화학,총 계,총 계,총 계,-,30467691,100.00%,3023486,100.00%,33491177.0,100.00%
17,비금융회사,금호피앤비화학,동일인측,계열회사(국내+해외),계열회사(국내+해외),금호석유화학,22476000,100.00%,-,-,22476000.0,100.00%
18,비금융회사,금호피앤비화학,동일인측,동일인측 합계,동일인측 합계,-,22476000,100.00%,-,-,22476000.0,100.00%
19,비금융회사,금호피앤비화학,총 계,총 계,총 계,-,22476000,100.00%,-,-,22476000.0,100.00%
20,비금융회사,금호미쓰이화학,동일인측,계열회사(국내+해외),계열회사(국내+해외),금호석유화학,1750000,50.00%,-,-,1750000.0,50.00%
21,비금융회사,금호미쓰이화학,동일인측,동일인측 합계,동일인측 합계,-,1750000,50.00%,-,-,1750000.0,50.00%
22,비금융회사,금호미쓰이화학,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,Mitsui Chemicals & SKC Polyurethanes Inc.,1750000,50.00%,-,-,1750000.0,50.00%
