,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,대한항공,동일인측,동일인,동일인,조원태,3140,0.00,5933,0.53,9073.0,0.01
1,비금융회사,대한항공,동일인측,친족,배우자/혈족1촌,이명희,4710,0.00,8899,0.80,13609.0,0.01
2,비금융회사,대한항공,동일인측,친족,혈족2~4촌,조현아,3140,0.00,5933,0.53,9073.0,0.01
3,비금융회사,대한항공,동일인측,친족,혈족2~4촌,조에밀리리,3140,0.00,5933,0.53,9073.0,0.01
4,비금융회사,대한항공,동일인측,친족,혈족5~6촌,김종대,409,0.00,1,0.00,410.0,0.00
5,비금융회사,대한항공,동일인측,친족,혈족5~6촌,박동화,2,0.00,0,0.00,2.0,0.00
6,비금융회사,대한항공,동일인측,친족,혈족5~6촌,최일환,2,0.00,0,0.00,2.0,0.00
7,비금융회사,대한항공,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-
8,비금융회사,대한항공,동일인측,친족,친족 합계,/,11403,0.01,20766,1.87,32169.0,0.03
9,비금융회사,대한항공,동일인측,비영리법인,비영리법인,일우재단,191325,0.20,0,0.00,191325.0,0.20
10,비금융회사,대한항공,동일인측,비영리법인,비영리법인,정석물류학술재단,400150,0.42,0,0.00,400150.0,0.42
11,비금융회사,대한항공,동일인측,비영리법인,비영리법인,정석인하학원,2593934,2.73,6932,0.62,2600866.0,2.71
12,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,우기홍,70,0.00,0,0.00,70.0,0.00
13,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,이수근,30,0.00,0,0.00,30.0,0.00
14,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,곽주호,428,0.00,0,0.00,428.0,0.00
15,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,권오준,2000,0.00,0,0.00,2000.0,0.00
16,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,김성준,1500,0.00,0,0.00,1500.0,0.00
17,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,김진관,1413,0.00,0,0.00,1413.0,0.00
18,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,김철,200,0.00,0,0.00,200.0,0.00
19,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,노삼석,1346,0.00,0,0.00,1346.0,0.00
20,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,박병률,68,0.00,0,0.00,68.0,0.00
21,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,박태훈,2,0.00,0,0.00,2.0,0.00
22,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,유영석,228,0.00,0,0.00,228.0,0.00
23,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,유종석,1214,0.00,2,0.00,1216.0,0.00
24,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,인승준,9,0.00,0,0.00,9.0,0.00
25,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,정성환,1186,0.00,0,0.00,1186.0,0.00
26,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,정세화,1251,0.00,0,0.00,1251.0,0.00
27,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,조영우,646,0.00,0,0.00,646.0,0.00
28,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,주규연,1223,0.00,0,0.00,1223.0,0.00
29,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,주우남,1456,0.00,0,0.00,1456.0,0.00
30,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,최정호,4000,0.00,0,0.00,4000.0,0.00
31,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,하은용,357,0.00,0,0.00,357.0,0.00
32,비금융회사,대한항공,동일인측,등기된 임원,등기된 임원,황인종,79,0.00,0,0.00,79.0,0.00
33,비금융회사,대한항공,동일인측,자기주식,자기주식,대한항공,35,0.00,2,0.00,37.0,0.00
34,비금융회사,대한항공,동일인측,계열회사(국내+해외),계열회사(국내+해외),한진칼,28417147,29.96,9559,0.86,28426706.0,29.62
35,비금융회사,대한항공,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-
36,비금융회사,대한항공,동일인측,동일인측 합계,동일인측 합계,/,31635840,33.36,43194,3.89,31679034.0,33.01
37,비금융회사,대한항공,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
38,비금융회사,대한항공,기타주주,기타,기타,/,63208794,66.64,1067600,96.11,64276394.0,66.99
39,비금융회사,대한항공,총 계,총 계,총 계,/,94844634,100,1110794,100,95955428.0,100
40,비금융회사,한진칼,동일인측,동일인,동일인,조원태,3856002,6.52,2867,0.53,3858869.0,6.46
41,비금융회사,한진칼,동일인측,친족,배우자/혈족1촌,이명희,3141137,5.31,4300,0.80,3145437.0,5.27
42,비금융회사,한진칼,동일인측,친족,혈족2~4촌,조현아,3837394,6.49,2867,0.53,3840261.0,6.43
43,비금융회사,한진칼,동일인측,친족,혈족2~4촌,조에밀리리,3828727,6.47,2867,0.53,3831594.0,6.42
44,비금융회사,한진칼,동일인측,친족,혈족2~4촌,조현숙,37901,0.06,0,0.00,37901.0,0.06
45,비금융회사,한진칼,동일인측,친족,혈족2~4촌,조중건,2485,0.00,0,0.00,2485.0,0.00
46,비금융회사,한진칼,동일인측,친족,혈족5~6촌,김종대,224,0.00,0,0.00,224.0,0.00
47,비금융회사,한진칼,동일인측,친족,혈족5~6촌,조인숙,5,0.00,0,0.00,5.0,0.00
48,비금융회사,한진칼,동일인측,친족,혈족5~6촌,박동화,1,0.00,0,0.00,1.0,0.00
49,비금융회사,한진칼,동일인측,친족,혈족5~6촌,최일환,1,0.00,0,0.00,1.0,0.00
50,비금융회사,한진칼,동일인측,친족,인척 4촌 이내,이태희,415506,0.70,0,0.00,415506.0,0.70
51,비금융회사,한진칼,동일인측,친족,친족 합계,/,11263381,19.03,10034,1.86,11273415.0,18.88
52,비금융회사,한진칼,동일인측,비영리법인,비영리법인,정석인하학원,1268054,2.14,3349,0.62,1271403.0,2.13
53,비금융회사,한진칼,동일인측,비영리법인,비영리법인,정석물류학술재단,637118,1.08,0,0.00,637118.0,1.07
54,비금융회사,한진칼,동일인측,비영리법인,비영리법인,일우재단,92453,0.16,0,0.00,92453.0,0.15
55,비금융회사,한진칼,동일인측,등기된 임원,등기된 임원,조영우,51,0.00,0,0.00,51.0,0.00
56,비금융회사,한진칼,동일인측,등기된 임원,등기된 임원,인승준,2,0.00,0,0.00,2.0,0.00
57,비금융회사,한진칼,동일인측,등기된 임원,등기된 임원,박태훈,1,0.00,0,0.00,1.0,0.00
58,비금융회사,한진칼,동일인측,등기된 임원,등기된 임원,박병률,1,0.00,0,0.00,1.0,0.00
59,비금융회사,한진칼,동일인측,자기주식,자기주식,한진칼,39,0.00,6469,1.21,6508.0,0.01
60,비금융회사,한진칼,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-
61,비금융회사,한진칼,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-
62,비금융회사,한진칼,동일인측,동일인측 합계,동일인측 합계,/,17117102,28.93,22719,4.22,17139821.0,28.70
63,비금융회사,한진칼,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
64,비금융회사,한진칼,기타주주,기타,기타,/,42053356,71.07,514047,95.78,42567403.0,71.30
65,비금융회사,한진칼,총 계,총 계,총 계,/,59170458,100.00,536766,100.00,59707224.0,100.00
66,비금융회사,한진,동일인측,동일인,동일인,조원태,"4 ,000",0.03,-,-,4000.0,0.03
67,비금융회사,한진,동일인측,친족,혈족2~4촌,조현아,"4 ,000",0.03,-,-,4000.0,0.03
68,비금융회사,한진,동일인측,친족,혈족2~4촌,조에밀리리,"4 ,000",0.03,-,-,4000.0,0.03
69,비금융회사,한진,동일인측,친족,친족 합계,/,8000,0.07,-,-,8000.0,0.07
70,비금융회사,한진,동일인측,비영리법인,비영리법인,정석인하학원,475124,3.97,-,-,475124.0,3.97
71,비금융회사,한진,동일인측,등기된 임원,등기된 임원,김종수,200,0.00,-,-,200.0,0.00
72,비금융회사,한진,동일인측,자기주식,자기주식,한진,2,0.00,-,-,2.0,0.00
73,비금융회사,한진,동일인측,계열회사(국내+해외),계열회사(국내+해외),한진칼,2828387,23.62,-,-,2828387.0,23.62
74,비금융회사,한진,동일인측,동일인측 합계,동일인측 합계,/,3315713,27.69,-,-,3315713.0,27.69
75,비금융회사,한진,기타주주,기타,기타,/,8658943,72.31,,,8658943.0,72.31
76,비금융회사,한진,총 계,총 계,총 계,/,11974656,100%,-,-,11974656.0,100%
77,비금융회사,한국공항,동일인측,동일인,동일인,-,-,-,-,-,,-
78,비금융회사,한국공항,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-
79,비금융회사,한국공항,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-
80,비금융회사,한국공항,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-
81,비금융회사,한국공항,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-
82,비금융회사,한국공항,동일인측,친족,친족 합계,-,-,-,-,-,,-
83,비금융회사,한국공항,동일인측,비영리법인,비영리법인,정석인하학원,254,0.01,,,254.0,0.01
84,비금융회사,한국공항,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-
85,비금융회사,한국공항,동일인측,자기주식,자기주식,한국공항,108105,3.41,-,-,108105.0,3.41
86,비금융회사,한국공항,동일인측,계열회사(국내+해외),계열회사(국내+해외),대한항공,1885134,59.54,-,-,1885134.0,59.54
87,비금융회사,한국공항,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-
88,비금융회사,한국공항,동일인측,동일인측 합계,동일인측 합계,-,1993493,62.96,,,1993493.0,62.96
89,비금융회사,한국공항,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
90,비금융회사,한국공항,기타주주,기타,기타,,1172862,37.04,-,-,1172862.0,37.04
91,비금융회사,한국공항,총 계,총 계,총 계,,3166355,100%,-,-,3166355.0,100%
92,비금융회사,진에어,동일인측,등기된 임원,등기된 임원,권영목,4800,0.02,-,-,4800.0,0.02
93,비금융회사,진에어,동일인측,등기된 임원,등기된 임원,정훈식,2154,0.01,-,-,2154.0,0.01
94,비금융회사,진에어,동일인측,등기된 임원,등기된 임원,배성진,990,0.00,-,-,990.0,0.00
95,비금융회사,진에어,동일인측,자기주식,자기주식,진에어,688057,2.29,-,-,688057.0,2.29
96,비금융회사,진에어,동일인측,계열회사(국내+해외),계열회사(국내+해외),한진칼,18000000,60.00,-,-,18000000.0,60.00
