,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,동원엔터프라이즈,동일인측,동일인,동일인,김재철,2864925,24.50,-,-,2864925.0,24.50
1,비금융회사,동원엔터프라이즈,동일인측,친족,배우자/혈족1촌,김남정,7948135,67.98,-,-,7948135.0,67.98
2,비금융회사,동원엔터프라이즈,동일인측,친족,혈족2~4촌,김재국,147481,1.26,-,-,147481.0,1.26
3,비금융회사,동원엔터프라이즈,동일인측,친족,혈족2~4촌,김재운,67707,0.58,-,-,67707.0,0.58
4,비금융회사,동원엔터프라이즈,동일인측,친족,혈족2~4촌,김재종,27744,0.24,-,-,27744.0,0.24
5,비금융회사,동원엔터프라이즈,동일인측,친족,혈족2~4촌,김호랑,525,0.00,-,-,525.0,0.00
6,비금융회사,동원엔터프라이즈,동일인측,친족,친족 합계,/,8191592,70.06,-,-,8191592.0,70.06
7,비금융회사,동원엔터프라이즈,동일인측,비영리법인,비영리법인,동원육영재단,583183,4.99,-,-,583183.0,4.99
8,비금융회사,동원엔터프라이즈,동일인측,자기주식,자기주식,동원엔터프라이즈,3,0.00,-,-,3.0,0.00
9,비금융회사,동원엔터프라이즈,동일인측,동일인측 합계,동일인측 합계,/,11639703,99.56,-,-,11639703.0,99.56
10,비금융회사,동원엔터프라이즈,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,-,-,-,-,,-
11,비금융회사,동원엔터프라이즈,기타주주,기타,기타,/,51787,0.44,-,-,51787.0,0.44
12,비금융회사,동원엔터프라이즈,총 계,총 계,총 계,/,11691490,100.00,-,-,11691490.0,100.00
13,비금융회사,동원에프앤비,동일인측,동일인,동일인,김재철,-,-,-,-,,-
14,비금융회사,동원에프앤비,동일인측,친족,혈족2~4촌,김도한,3,0,-,-,3.0,0
15,비금융회사,동원에프앤비,동일인측,친족,친족 합계,/,3,0,-,-,3.0,0
16,비금융회사,동원에프앤비,동일인측,계열회사(국내+해외),계열회사(국내+해외),동원엔터프라이즈,2749618,71.25,-,-,2749618.0,71.25
17,비금융회사,동원에프앤비,동일인측,동일인측 합계,동일인측 합계,/,2749621,71.25,-,-,2749621.0,71.25
18,비금융회사,동원에프앤비,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
19,비금융회사,동원에프앤비,기타주주,기타,기타,/,1109503,28.75,-,-,1109503.0,28.75
20,비금융회사,동원에프앤비,총 계,총 계,총 계,/,3859124,100.00,-,-,3859124.0,100
21,비금융회사,동원산업,동일인측,동일인,동일인,-,-,-,-,-,,-
22,비금융회사,동원산업,동일인측,,혈족2~4촌,김재운,12824,0.38,-,-,12824.0,0.38
23,비금융회사,동원산업,동일인측,,혈족2~4촌,김도한,3920,0.11,-,-,3920.0,0.11
24,비금융회사,동원산업,동일인측,,혈족2~4촌,김호랑,4648,0.14,-,-,4648.0,0.14
25,비금융회사,동원산업,동일인측,,혈족2~4촌,김중한,69,0.00,-,-,69.0,0.00
26,비금융회사,동원산업,동일인측,,친족 합계,-,21461,0.63,-,-,21461.0,0.63
27,비금융회사,동원산업,동일인측,등기된 임원,등기된 임원,이명우,1600,0.05,-,-,1600.0,0.05
28,비금융회사,동원산업,동일인측,계열회사(국내+해외),계열회사(국내+해외),동원엔터프라이즈,1992232,59.24,-,-,1992232.0,59.24
29,비금융회사,동원산업,동일인측,동일인측 합계,동일인측 합계,-,2015293,59.92,-,-,2015293.0,59.92
30,비금융회사,동원산업,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
