,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,신세계,동일인측,동일인,동일인,이명희,1794186,18.22,-,-,1794186.0,18.22
1,비금융회사,신세계,동일인측,친족,배우자/혈족1촌,정유경,967853,9.83,-,-,967853.0,9.83
2,비금융회사,신세계,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-
3,비금융회사,신세계,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-
4,비금융회사,신세계,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-
5,비금융회사,신세계,동일인측,친족,친족 합계,/,2762039,28.05,-,-,967853.0,28.05
6,비금융회사,신세계,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-
7,비금융회사,신세계,동일인측,등기된 임원,등기된 임원,장재영,281,0.00,-,-,281.0,0.00
8,비금융회사,신세계,동일인측,등기된 임원,등기된 임원,박주형,345,0.00,-,,345.0,0.00
9,비금융회사,신세계,동일인측,자기주식,자기주식,신세계,8774,0.09,-,-,8774.0,0.09
10,비금융회사,신세계,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-
11,비금융회사,신세계,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-
12,비금융회사,신세계,동일인측,⑨ 동일인측 합계,동일인측 합계,/,2771439,28.15,-,-,2771439.0,28.15
13,비금융회사,신세계,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,,,-,,,
14,비금융회사,신세계,기타주주,기타,기타,/,7073742,71.85,-,-,7073742.0,71.85
15,비금융회사,신세계,총 계,총 계,총 계,/,9845181,100%,-,-,9845181.0,100%
16,비금융회사,신세계디에프,동일인측,동일인,동일인,이명희,-,-,-,-,,-
17,비금융회사,신세계디에프,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-
18,비금융회사,신세계디에프,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-
19,비금융회사,신세계디에프,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-
20,비금융회사,신세계디에프,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-
21,비금융회사,신세계디에프,동일인측,친족,친족 합계,/,-,-,-,-,,-
22,비금융회사,신세계디에프,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-
23,비금융회사,신세계디에프,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-
24,비금융회사,신세계디에프,동일인측,자기주식,자기주식,-,-,-,-,-,,-
25,비금융회사,신세계디에프,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계,10100000,100.00,-,-,10100000.0,100.00
26,비금융회사,신세계디에프,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-
27,비금융회사,신세계디에프,동일인측,⑨ 동일인측 합계,동일인측 합계,/,10100000,100.00,-,-,10100000.0,100.00
28,비금융회사,신세계디에프,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-
29,비금융회사,신세계디에프,기타주주,기타,기타,/,-,-,-,-,,-
30,비금융회사,신세계디에프,총 계,총 계,총 계,/,10100000,100%,-,-,10100000.0,100%
31,비금융회사,신세계동대구복합환승센터,동일인측,동일인,동일인,이명희,-,-,-,-,,-
32,비금융회사,신세계동대구복합환승센터,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-
33,비금융회사,신세계동대구복합환승센터,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-
34,비금융회사,신세계동대구복합환승센터,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-
35,비금융회사,신세계동대구복합환승센터,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-
36,비금융회사,신세계동대구복합환승센터,동일인측,친족,친족 합계,/,-,-,-,-,,-
37,비금융회사,신세계동대구복합환승센터,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-
38,비금융회사,신세계동대구복합환승센터,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-
39,비금융회사,신세계동대구복합환승센터,동일인측,자기주식,자기주식,-,-,-,-,-,,-
40,비금융회사,신세계동대구복합환승센터,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계,27926240,99.99,-,-,27926240.0,61.00
41,비금융회사,신세계동대구복합환승센터,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-
