,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,태영건설,동일인측,동일인,동일인,윤세영,500000,0.65,,,500000.0,0.63
1,비금융회사,태영건설,동일인측,친족,배우자/ 혈족1촌,윤석민,20707620,27.10,,,20707620.0,26.23
2,비금융회사,태영건설,동일인측,친족,인척 4촌 이내,변탁,40000,0.05,,,40000.0,0.05
3,비금융회사,태영건설,동일인측,친족,인척 4촌 이내,이상희,2300000,3.01,,,2300000.0,2.91
4,비금융회사,태영건설,동일인측,친족,친족 합계,/,23047620,30.17,,,23047620.0,29.19
5,비금융회사,태영건설,동일인측,비영리법인,비영리법인,서암학술장학재단,5766150,7.55,,,5766150.0,7.30
6,비금융회사,태영건설,동일인측,자기주식,자기주식,태영건설,8120000,10.63,,,8120000.0,10.28
7,비금융회사,태영건설,동일인측,동일인측 합계,동일인측 합계,/,37433770,49.00,,,37433770.0,47.41
8,비금융회사,태영건설,기타주주,기타,기타,/,38966230,51.00,2557480,100.00,41523710.0,52.59
9,비금융회사,태영건설,총 계,총 계,총 계,/,76400000,100.00,2557480,100.00,78957480.0,100.00
10,비금융회사,디엠씨미디어,동일인측,등기된 임원,등기된 임원,이준희,17408,37.36%,-,-,17408.0,37.36%
11,비금융회사,디엠씨미디어,동일인측,계열회사(국내+해외),계열회사(국내+해외),에스비에스,25184,54.05%,-,-,25184.0,54.05%
12,비금융회사,디엠씨미디어,동일인측,동일인측 합계,동일인측 합계,/,42592,91.41%,-,-,42592.0,91.41%
13,비금융회사,디엠씨미디어,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,4000,8.59%,-,-,4000.0,8.59%
14,비금융회사,디엠씨미디어,기타주주,기타,기타,/,46592,100%,-,-,0.0,100%
15,비금융회사,디엠씨미디어,총 계,총 계,총 계,/,46592,100%,,,46592.0,100%
16,비금융회사,리앤에스스포츠,동일인측,등기된 임원,등기된 임원,이재명,150000,30.0,,,150000.0,
