,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,한국테크놀로지그룹,동일인측,동일인,동일인,조양래,21942693,23.59%,-,-,21942693,23.59%
1,비금융회사,한국테크놀로지그룹,동일인측,친족,배우자/혈족1촌,홍문자,2015,0.00%,-,-,2015,0.00%
2,비금융회사,한국테크놀로지그룹,동일인측,친족,배우자/혈족1촌,조현범,17959178,19.31%,-,-,17959178,19.31%
3,비금융회사,한국테크놀로지그룹,동일인측,친족,배우자/혈족1촌,조현식,17974870,19.32%,-,-,17974870,19.32%
4,비금융회사,한국테크놀로지그룹,동일인측,친족,배우자/혈족1촌,조희원,10068989,10.82%,-,-,10068989,10.82%
5,비금융회사,한국테크놀로지그룹,동일인측,친족,배우자/혈족1촌,조희경,769583,0.83%,-,-,769583,0.83%
6,비금융회사,한국테크놀로지그룹,동일인측,친족,혈족2~4촌,조재형,3518,0.00%,-,-,3518,0.00%
7,비금융회사,한국테크놀로지그룹,동일인측,친족,혈족2~4촌,조유빈,3508,0.00%,-,-,3508,0.00%
8,비금융회사,한국테크놀로지그룹,동일인측,친족,혈족2~4촌,조재민,3497,0.00%,-,-,3497,0.00%
9,비금융회사,한국테크놀로지그룹,동일인측,친족,혈족2~4촌,조재완,3495,0.00%,-,-,3495,0.00%
10,비금융회사,한국테크놀로지그룹,동일인측,친족,인척 4촌이내,노정호,5970,0.01%,-,-,5970,0.01%
11,비금융회사,한국테크놀로지그룹,동일인측,친족,인척 4촌이내,김명자,7098,0.01%,-,-,7098,0.01%
12,비금융회사,한국테크놀로지그룹,동일인측,친족,친족 합계,친족 합계,68744414,73.90%,-,-,46801721,73.90%
13,비금융회사,한국테크놀로지그룹,동일인측,자기주식,자기주식,한국테크롤로지그룹,1325090,1.42%,-,-,1325090,1.42%
14,비금융회사,한국테크놀로지그룹,동일인측,계열회사,계열회사,신양관광개발,19443,0.02%,-,-,19443,0.02%
15,비금융회사,한국테크놀로지그룹,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,70088947,75.35%,-,-,70088947,75.35%
16,비금융회사,한국테크놀로지그룹,기타주주,기타,기타,-,22931226,24.65%,-,-,22931226,24.65%
17,비금융회사,한국테크놀로지그룹,총 계,총 계,총 계,총 계,93020173,100%,-,-,93020173,100%
18,비금융회사,한국타이어앤테크놀로지,동일인측,동일인,동일인,조양래,7019903,5.67%,-,-,7019903,5.67%
19,비금융회사,한국타이어앤테크놀로지,동일인측,친족,배우자/혈족1촌,홍문자,8819,0.01%,-,-,8819,0.01%
20,비금융회사,한국타이어앤테크놀로지,동일인측,친족,배우자/혈족1촌,조현범,2561241,2.07%,-,-,2561241,2.07%
21,비금융회사,한국타이어앤테크놀로지,동일인측,친족,배우자/혈족1촌,조현식,799241,0.65%,-,-,799241,0.65%
22,비금융회사,한국타이어앤테크놀로지,동일인측,친족,배우자/혈족1촌,조희원,884219,0.71%,-,-,884219,0.71%
23,비금융회사,한국타이어앤테크놀로지,동일인측,친족,배우자/혈족1촌,조희경,3366860,2.72%,-,-,3366860,2.72%
24,비금융회사,한국타이어앤테크놀로지,동일인측,친족,혈족2~4촌,조재형,15391,0.01%,-,-,15391,0.01%
25,비금융회사,한국타이어앤테크놀로지,동일인측,친족,혈족2~4촌,조유빈,15351,0.01%,-,-,15351,0.01%
26,비금융회사,한국타이어앤테크놀로지,동일인측,친족,혈족2~4촌,조재민,15302,0.01%,-,-,15302,0.01%
27,비금융회사,한국타이어앤테크놀로지,동일인측,친족,혈족2~4촌,조재완,15294,0.01%,-,-,15294,0.01%
28,비금융회사,한국타이어앤테크놀로지,동일인측,친족,인척 4촌이내,노정호,26121,0.02%,-,-,26121,0.02%
29,비금융회사,한국타이어앤테크놀로지,동일인측,친족,인척 4촌이내,김명자,29057,0.02%,-,-,29057,0.02%
30,비금융회사,한국타이어앤테크놀로지,동일인측,친족,친족 합계,친족 합계,14756799,11.91%,-,-,7736896,11.91%
31,비금융회사,한국타이어앤테크놀로지,동일인측,등기된 임원,등기된 임원,이수일,5213,0.00%,-,-,5213,0.00%
32,비금융회사,한국타이어앤테크놀로지,동일인측,등기된 임원,등기된 임원,조충환,6910,0.01%,-,-,6910,0.01%
33,비금융회사,한국타이어앤테크놀로지,동일인측,자기주식,자기주식,한국타이어앤테크놀로지,475606,0.38%,-,-,475606,0.38%
34,비금융회사,한국타이어앤테크놀로지,동일인측,계열회사,계열회사,한국테크놀로지그룹,37995959,30.67%,-,-,37995959,30.67%
35,비금융회사,한국타이어앤테크놀로지,동일인측,계열회사,계열회사,신양관광개발,793522,0.64%,-,-,793522,0.64%
36,비금융회사,한국타이어앤테크놀로지,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,54034009,43.62%,-,-,53110335,42.87%
37,비금융회사,한국타이어앤테크놀로지,기타주주,기타,기타,-,69841060,56.38%,-,-,69841060,56.38%
38,비금융회사,한국타이어앤테크놀로지,총 계,총 계,총 계,총 계,123875069,100%,-,-,123875069,100%
39,비금융회사,한국아트라스비엑스,동일인측,자기주식,자기주식,한국아트라스비엑스,5346107,58.43%,-,-,5346107,58.43%
40,비금융회사,한국아트라스비엑스,동일인측,계열회사,계열회사,한국테크놀로지그룹,2848685,31.13%,-,-,2848685,31.13%
41,비금융회사,한국아트라스비엑스,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,8194792,89.56%,-,-,8194792,89.56%
42,비금융회사,한국아트라스비엑스,기타주주,기타,기타,-,955208,10.44%,-,-,955208,10.44%
43,비금융회사,한국아트라스비엑스,총 계,총 계,총 계,총 계,9150000,100%,-,-,9150000,100%
44,비금융회사,한국카앤라이프,동일인측,계열회사,계열회사,한국테크놀로지그룹,20682000,100%,-,-,20682000,100%
45,비금융회사,한국카앤라이프,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,20682000,100%,-,-,20682000,100%
46,비금융회사,한국카앤라이프,총 계,총 계,총 계,총 계,20682000,100%,-,-,20682000,100%
47,비금융회사,한국네트웍스,동일인측,친족,배우자/혈족1촌,조현식,800000,24.00%,,,800000,24.00%
48,비금융회사,한국네트웍스,동일인측,친족,배우자/혈족1촌,조현범,800000,24.00%,,,800000,24.00%
49,비금융회사,한국네트웍스,동일인측,친족,배우자/혈족1촌,조희경,400000,12.00%,,,400000,12.00%
50,비금융회사,한국네트웍스,동일인측,친족,친족 합계,친족 합계,2000000,60.00%,,,2000000,60.00%
51,비금융회사,한국네트웍스,동일인측,계열회사,계열회사,한국테크놀로지그룹,1333334,40.00%,,,1333334,40.00%
52,비금융회사,한국네트웍스,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,3333334,100.00%,,,3333334,100.00%
53,비금융회사,한국네트웍스,총 계,총 계,총 계,총 계,3333334,100.00%,,,3333334,100.00%
54,비금융회사,한국엔지니어링웍스,동일인측,친족,배우자/혈족1촌,조현범,20000,5%,-,-,20000,5%
55,비금융회사,한국엔지니어링웍스,동일인측,친족,친족합계,친족합계,20000,5%,-,-,20000,5%
56,비금융회사,한국엔지니어링웍스,동일인측,계열회사,계열회사,한국타이어앤테크놀로지,380000,95%,-,-,380000,95%
57,비금융회사,한국엔지니어링웍스,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,400000,100%,-,-,400000,100%
58,비금융회사,한국엔지니어링웍스,총 계,총 계,총 계,총 계,400000,100%,-,-,400000,100%
59,비금융회사,한국프리시전웍스,동일인측,친족,배우자/혈족1촌,조현범,2093000,29.9%,-,-,2093000,29.9%
60,비금융회사,한국프리시전웍스,동일인측,친족,배우자/혈족1촌,조현식,1400000,20.0%,-,-,1400000,20%
61,비금융회사,한국프리시전웍스,동일인측,친족,친족 합계,친족 합계,3493000,49.9%,-,-,3493000,49.9%
62,비금융회사,한국프리시전웍스,동일인측,계열회사,계열회사,한국타이어앤테크놀로지,3507000,50.1%,-,-,3507000,50.1%
63,비금융회사,한국프리시전웍스,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,7000000,100%,-,-,7000000,100%
64,비금융회사,한국프리시전웍스,총 계,총 계,총 계,총 계,7000000,100%,-,-,7000000,100%
65,비금융회사,한국동그라미파트너스,동일인측,계열회사,계열회사,한국타이어앤테크놀로지,1800000,100%,-,-,1800000,100%
66,비금융회사,한국동그라미파트너스,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,1800000,100%,-,-,1800000,100%
67,비금융회사,한국동그라미파트너스,총 계,총 계,총 계,총 계,1800000,100%,-,-,1800000,100%
68,비금융회사,에이치케이모터즈,동일인측,계열회사,계열회사,한국카앤라이프,2989200,100%,-,-,2989200,100%
69,비금융회사,에이치케이모터즈,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,2989200,100%,-,-,2989200,100%
70,비금융회사,에이치케이모터즈,총 계,총 계,총 계,총 계,2989200,100%,-,-,2989200,100%
71,비금융회사,아트라스비엑스모터스포츠,동일인측,계열회사,계열회사,한국아트라스비엑스,110000,100%,-,-,110000,100%
72,비금융회사,아트라스비엑스모터스포츠,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,110000,100%,-,-,110000,100%
73,비금융회사,아트라스비엑스모터스포츠,총 계,총 계,총 계,총 계,110000,100%,-,-,110000,100%
74,비금융회사,아름일렉트로닉스,동일인측,친족,배우자/혈족1촌,조현범,3976500,76.5%,-,-,3976500,76.5%
75,비금융회사,아름일렉트로닉스,동일인측,친족,친족합계,친족합계,3976500,76.5%,-,-,3976500,76.5%
76,비금융회사,아름일렉트로닉스,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,3976500,76.5%,-,-,3976500,76.5%
77,비금융회사,아름일렉트로닉스,기타주주,기타,기타,-,1223500,23.5%,-,-,1223500,23.5%
78,비금융회사,아름일렉트로닉스,총 계,총 계,총 계,총 계,5200000,100%,-,-,5200000,100%
79,비금융회사,신양월드레저,동일인측,동일인,동일인,조양래,40000,20%,-,-,40000,20%
80,비금융회사,신양월드레저,동일인측,친족,배우자/혈족1촌,조현식,80000,40%,-,-,80000,40%
81,비금융회사,신양월드레저,동일인측,친족,배우자/혈족1촌,조현범,80000,40%,-,-,80000,40%
82,비금융회사,신양월드레저,동일인측,친족,친족 합계,친족 합계,200000,100%,-,-,160000,100%
83,비금융회사,신양월드레저,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,200000,100%,-,-,200000,100%
84,비금융회사,신양월드레저,총 계,총 계,총 계,총 계,200000,100%,-,-,200000,100%
85,비금융회사,신양관광개발,동일인측,친족,배우자/혈족1촌,조현식,30000,44.12%,-,-,30000,44.12%
86,비금융회사,신양관광개발,동일인측,친족,배우자/혈족1촌,조현범,22200,32.65%,-,-,22200,32.65%
87,비금융회사,신양관광개발,동일인측,친족,배우자/혈족1촌,조희경,11800,17.35%,-,-,11800,17.35%
88,비금융회사,신양관광개발,동일인측,친족,배우자/혈족1촌,조희원,4000,5.88%,-,-,4000,5.88%
89,비금융회사,신양관광개발,동일인측,친족,친족 합계,친족 합계,68000,100%,-,-,68000,100%
90,비금융회사,신양관광개발,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,68000,100%,-,-,68000,100%
91,비금융회사,신양관광개발,총 계,총 계,총 계,총 계,68000,100%,-,-,68000,100%
92,비금융회사,아노텐금산,동일인측,친족,배우자/혈족1촌,조현식,2569213,100%,-,-,2569213,100%
93,비금융회사,아노텐금산,동일인측,친족,친족 합계,친족 합계,2569213,100%,-,-,2569213,100%
94,비금융회사,아노텐금산,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,2569213,100%,-,-,2569213,100%
95,비금융회사,아노텐금산,총 계,총 계,총 계,총 계,2569213,100%,-,-,2569213,100%
96,비금융회사,한오토모빌레,동일인측,계열회사,계열회사,한국카앤라이프,112460,100%,-,-,112460,100%
97,비금융회사,한오토모빌레,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,112460,100%,-,-,112460,100%
98,비금융회사,한오토모빌레,총 계,총 계,총 계,총 계,112460,100%,-,-,112460,100%
99,비금융회사,모델솔루션,동일인측,계열회사,계열회사,한국타이어앤테크놀로지,140735,75%,-,-,140735,75%
100,비금융회사,모델솔루션,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,140735,75%,-,-,140735,75%
101,비금융회사,모델솔루션,기타주주,기타,기타,-,46912,25%,-,-,46912,25%
102,비금융회사,모델솔루션,총 계,총 계,총 계,총 계,187647,100%,-,-,187647,100%
103,비금융회사,에스피팀,동일인측,친족,배우자/혈족1촌,조현식,199000,100%,-,-,199000,100%
104,비금융회사,에스피팀,동일인측,친족,친족 합계,친족 합계,199000,100%,-,-,199000,100%
105,비금융회사,에스피팀,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,199000,100%,-,-,199000,100%
106,비금융회사,에스피팀,동일인측,총 계,총 계,총 계,199000,100%,-,-,199000,100%
107,비금융회사,세일환경,동일인측,친족,배우자/혈족1촌,조현식,4061722,96.44%,-,-,4061722,96.44%
108,비금융회사,세일환경,동일인측,친족,친족 합계,친족 합계,4061722,96.44%,-,-,4061722,96.44%
109,비금융회사,세일환경,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,4061722,96.44%,-,-,4061722,96.44%
110,비금융회사,세일환경,기타주주,기타,기타,-,150000,3.56%,-,-,150000,3.56%
111,비금융회사,세일환경,총 계,총 계,총 계,총 계,4211722,100%,-,-,4211722,100%
112,비금융회사,에스아이카본,동일인측,친족,배우자/혈족1촌,조현식,829820,100%,-,-,829820,100%
113,비금융회사,에스아이카본,동일인측,친족,친족 합계,친족 합계,829820,100%,-,-,829820,100%
114,비금융회사,에스아이카본,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,829820,100%,-,-,829820,100%
115,비금융회사,에스아이카본,총 계,총 계,총 계,총 계,829820,100%,-,-,829820,100%
120,비금융회사,아름덴티스트리,동일인측,계열회사,계열회사,두원홀딩스,9000,90%,-,-,9000,90%
121,비금융회사,아름덴티스트리,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,9000,90%,-,-,9000,90%
122,비금융회사,아름덴티스트리,기타주주,기타,기타,-,1000,10%,-,-,1000,10%
123,비금융회사,아름덴티스트리,총 계,총 계,총 계,총 계,10000,100%,-,-,10000,100%
124,비금융회사,티앤에이,동일인측,계열회사,계열회사,한국타이어앤테크놀로지,200000,100%,-,-,200000,100%
125,비금융회사,티앤에이,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,200000,100%,-,-,200000,100%
126,비금융회사,티앤에이,총 계,총 계,총 계,총 계,200000,100%,-,-,200000,100%
127,비금융회사,두원홀딩스,동일인측,친족,배우자/혈족1촌,조현식,9000,45%,-,-,9000,45%
128,비금융회사,두원홀딩스,동일인측,친족,배우자/혈족1촌,조현범,9000,45%,-,-,9000,45%
129,비금융회사,두원홀딩스,동일인측,친족 합계,친족 합계,친족 합계,18000,90%,-,-,18000,90%
