,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,,한라홀딩스,동일인측,동일인,동일인,정몽원,2545433,24.31,-,-,2545433,24.31
1,,한라홀딩스,동일인측,친족,배우자/혈족1촌,홍인화,1389,0.01,-,-,1389,0.01
2,,한라홀딩스,동일인측,친족,배우자/혈족1촌,정지연,845,0.01,-,-,845,0.01
3,,한라홀딩스,동일인측,친족,배우자/혈족1촌,정지수,1672,0.02,-,-,1672,0.02
4,,한라홀딩스,동일인측,친족,친족 합계,/,3906,0.04,-,-,3906,0.04
5,,한라홀딩스,동일인측,등기된 임원,등기된 임원,김준범,630,0.01,-,-,630,0.01
6,,한라홀딩스,동일인측,등기된 임원,등기된 임원,동창진,259,0.00,-,-,259,0.00
7,,한라홀딩스,동일인측,등기된 임원,등기된 임원,이용주,382,0.00,-,-,382,0.00
8,,한라홀딩스,동일인측,등기된 임원,등기된 임원,이정석,109,0.00,-,-,109,0.00
9,,한라홀딩스,동일인측,등기된 임원,등기된 임원,이주형,219,0.00,-,-,219,0.00
10,,한라홀딩스,동일인측,등기된 임원,등기된 임원,이철영,1450,0.01,-,-,1450,0.01
11,,한라홀딩스,동일인측,등기된 임원,등기된 임원,정종환,28,0.00,-,-,28,0.00
12,,한라홀딩스,동일인측,등기된 임원,등기된 임원,최경선,155,0.00,-,-,155,0.00
13,,한라홀딩스,동일인측,등기된 임원,등기된 임원,최상진,296,0.00,-,-,296,0.00
14,,한라홀딩스,동일인측,등기된 임원,등기된 임원,탁일환,413,0.00,-,-,413,0.00
15,,한라홀딩스,동일인측,자기주식,자기주식,한라홀딩스,222377,2.12,-,-,222377,2.12
16,,한라홀딩스,동일인측,동일인측 합계,동일인측 합계,/,2775657,26.51,-,-,2775657,26.51
17,,한라홀딩스,기타주주,기타,기타,/,7696413,73.49,-,-,7696413,73.49
18,,한라홀딩스,총 계,총 계,총 계,/,10472070,100.00,-,-,10472070,100.00
19,,위코,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),한라홀딩스,402000,100.00,-,-,402000,100.00
20,,위코,동일인측,동일인측 합계,동일인측 합계,/,402000,100.00,-,-,402000,100.00
