,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,㈜DB Inc.,동일인측,동일인,동일인,김준기,22522980,11.20,-,-,22522980,11.20
1,비금융회사,㈜DB Inc.,동일인측,친족,배우자/혈족1촌,김정희,2205140,1.10,-,-,2205140,1.10
2,비금융회사,㈜DB Inc.,동일인측,친족,배우자/혈족1촌,김남호,33856750,16.83,-,-,33856750,16.83
3,비금융회사,㈜DB Inc.,동일인측,친족,배우자/혈족1촌,김주원,18486310,9.19,-,-,18486310,9.19
4,비금융회사,㈜DB Inc.,동일인측,친족,혈족2~4촌,김명자,286650,0.14,-,-,286650,0.14
5,비금융회사,㈜DB Inc.,동일인측,친족,혈족2~4촌,김명희,120000,0.06,-,-,120000,0.06
6,비금융회사,㈜DB Inc.,동일인측,친족,혈족2~4촌,김택기,149160,0.07,-,-,149160,0.07
7,비금융회사,㈜DB Inc.,동일인측,친족,혈족2~4촌,김남선,149160,0.07,-,-,149160,0.07
8,비금융회사,㈜DB Inc.,동일인측,친족,혈족2~4촌,김병은,74580,0.04,-,-,74580,0.04
9,비금융회사,㈜DB Inc.,동일인측,친족,혈족2~4촌,김병직,64580,0.03,-,-,64580,0.03
10,비금융회사,㈜DB Inc.,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
11,비금융회사,㈜DB Inc.,동일인측,친족,인척 4촌 이내,김정림,286650,0.14,-,-,286650,0.14
12,비금융회사,㈜DB Inc.,동일인측,친족,인척 4촌 이내,윤대근,573330,0.28,-,-,573330,0.28
13,비금융회사,㈜DB Inc.,동일인측,친족,인척 4촌 이내,임주웅,573330,0.28,-,-,573330,0.28
14,비금융회사,㈜DB Inc.,동일인측,친족,인척 4촌 이내,윤홍식,74580,0.04,-,-,74580,0.04
15,비금융회사,㈜DB Inc.,동일인측,친족,친족 합계,-,56900220,28.28,-,-,56900220,28.28
16,비금융회사,㈜DB Inc.,동일인측,비영리법인,비영리법인,DB김준기문화재단,8644280,4.30,-,-,8644280,4.30
17,비금융회사,㈜DB Inc.,동일인측,등기된 임원,등기된 임원,백민호,7000,0.00,-,-,7000,0.00
18,비금융회사,㈜DB Inc.,동일인측,등기된 임원,등기된 임원,강운식,50000,0.02,-,-,50000,0.02
19,비금융회사,㈜DB Inc.,동일인측,자기주식,자기주식,㈜DB Inc.,10143400,5.04,-,-,10143400,5.04
20,비금융회사,㈜DB Inc.,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
21,비금융회사,㈜DB Inc.,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
22,비금융회사,㈜DB Inc.,동일인측,동일인측 합계,동일인측 합계,-,98267880,48.85,-,-,98267880,48.85
23,비금융회사,㈜DB Inc.,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
24,비금융회사,㈜DB Inc.,기타주주,기타,기타,-,102906053,51.15,-,-,102906053,51.15
25,비금융회사,㈜DB Inc.,총 계,총 계,총 계,-,201173933,100.00,-,-,201173933,100.00
26,비금융회사,㈜DB메탈,동일인측,동일인,동일인,-,-,-,-,-,-,-
27,비금융회사,㈜DB메탈,동일인측,친족,배우자/ 혈족1촌,김남호,8665511,22.41,-,-,8665511,22.41
28,비금융회사,㈜DB메탈,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
29,비금융회사,㈜DB메탈,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
30,비금융회사,㈜DB메탈,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
31,비금융회사,㈜DB메탈,동일인측,친족,친족 합계,-,8665511,22.41,-,-,8665511,22.41
32,비금융회사,㈜DB메탈,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
33,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,고원종,1500,0.00,-,-,1500,0.00
34,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,곽제동,1500,0.00,-,-,1500,0.00
35,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,김영만,500,0.00,-,-,500,0.00
36,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,김정남,500,0.00,-,-,500,0.00
37,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,김하중,1000,0.00,-,-,1000,0.00
38,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,나대두,240,0.00,-,-,240,0.00
39,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,목진영,500,0.00,-,-,500,0.00
40,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,문수원,400,0.00,-,-,400,0.00
41,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,박찬수,929,0.00,-,-,929,0.00
42,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,백민호,500,0.00,-,-,500,0.00
43,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,윤재인,500,0.00,-,-,500,0.00
44,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,이태운,500,0.00,-,-,500,0.00
45,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,임성훈,80,0.00,-,-,80,0.00
46,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,조원성,300,0.00,-,-,300,0.00
47,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,허대회,230,0.00,-,-,230,0.00
48,비금융회사,㈜DB메탈,동일인측,등기된 임원,등기된 임원,황원기,100,0.00,-,-,100,0.00
49,비금융회사,㈜DB메탈,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
50,비금융회사,㈜DB메탈,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),㈜DB하이텍,9590665,24.80,-,-,9590665,24.80
51,비금융회사,㈜DB메탈,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),DB인베스트㈜,9300000,24.05,-,-,9300000,24.05
52,비금융회사,㈜DB메탈,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),㈜DB Inc.,3025004,7.82,-,-,3025004,7.82
53,비금융회사,㈜DB메탈,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),DB스탁인베스트㈜,2550000,6.60,-,-,2550000,6.60
