,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,㈜지에스,동일인측,동일인,동일인,허창수,4417695,4.75%,,0.00%,4417695,4.66%
1,비금융회사,㈜지에스,동일인측,친족,배우자/혈족 1촌,허윤영,323917,0.35%,,0.00%,323917,0.34%
2,비금융회사,㈜지에스,동일인측,친족,배우자/혈족 1촌,허윤홍,494888,0.53%,,0.00%,494888,0.52%
3,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허광수,2033983,2.19%,,0.00%,2033983,2.15%
4,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허남각,2110670,2.27%,,0.00%,2110670,2.23%
5,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허동수,1626720,1.75%,,0.00%,1626720,1.72%
6,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허두홍,581968,0.63%,,0.00%,581968,0.61%
7,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허명수,1810693,1.95%,,0.00%,1810693,1.91%
8,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허민경,232513,0.25%,,0.00%,232513,0.25%
9,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허승조,2007549,2.16%,,0.00%,2007549,2.12%
10,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허연수,2095518,2.26%,,0.00%,2095518,2.21%
11,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허연숙,468517,0.50%,,0.00%,468517,0.49%
12,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허연호,382974,0.41%,,0.00%,382974,0.40%
13,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허용수,4889718,5.26%,,0.00%,4889718,5.16%
14,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허인영,1532886,1.65%,,0.00%,1532886,1.62%
15,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허정수,107732,0.12%,,0.00%,107732,0.11%
16,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허정현,195916,0.21%,,0.00%,195916,0.21%
17,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허주홍,399462,0.43%,,0.00%,399462,0.42%
18,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허지안,250911,0.27%,,0.00%,250911,0.26%
19,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허진수,1873276,2.02%,,0.00%,1873276,1.98%
20,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허진홍,341644,0.37%,,0.00%,341644,0.36%
21,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허철홍,1270325,1.37%,,0.00%,1270325,1.34%
22,비금융회사,㈜지에스,동일인측,친족,혈족 2~4촌,허치홍,420129,0.45%,,0.00%,420129,0.44%
