,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,에이치디씨(주),동일인측,동일인,동일인,정몽규,19740019,33.04%,-,-,19740019,33.04%
1,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,Kim Julie Ann,1856,0.00%,-,-,1856,0.00%
2,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,박영자,30034,0.05%,-,-,30034,0.05%
3,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,정준선,60000,0.10%,-,-,60000,0.10%
4,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,정원선,30000,0.05%,-,-,30000,0.05%
5,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,정운선,10000,0.02%,-,-,10000,0.02%
6,비금융회사,에이치디씨(주),동일인측,친족,혈족2~4촌,정숙영,24132,0.04%,-,-,24132,0.04%
7,비금융회사,에이치디씨(주),동일인측,친족,혈족2~4촌,노경수,291999,0.49%,-,-,291999,0.49%
8,비금융회사,에이치디씨(주),동일인측,친족,혈족2~4촌,정유경,223588,0.37%,-,-,223588,0.37%
9,비금융회사,에이치디씨(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
10,비금융회사,에이치디씨(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
11,비금융회사,에이치디씨(주),동일인측,친족,친족 합계,/,671609,1.12%,-,-,671609,1.12%
12,비금융회사,에이치디씨(주),동일인측,비영리법인,비영리법인,포니정장학재단,83428,0.14%,-,-,83428,0.14%
13,비금융회사,에이치디씨(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
14,비금융회사,에이치디씨(주),동일인측,자기주식,자기주식,에이치디씨(주),2219656,3.72%,,,2219656,3.72%
15,비금융회사,에이치디씨(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨아이콘트롤스(주),1064130,1.78%,-,-,1064130,1.78%
16,비금융회사,에이치디씨(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
17,비금융회사,에이치디씨(주),동일인측,동일인측 합계,동일인측 합계,/,23778842,39.80%,-,-,23778842,39.80%
18,비금융회사,에이치디씨(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
19,비금융회사,에이치디씨(주),기타주주,기타,기타,/,35962879,60.20%,-,-,35962879,60.20%
20,비금융회사,에이치디씨(주),총 계,총 계,총 계,/,59741721,100%,-,-,59741721,100%
21,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,동일인,동일인,-,-,-,-,-,-,-
22,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
23,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
24,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
25,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
26,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,친족,친족 합계,/,-,-,-,-,-,-
27,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
28,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
29,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
30,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨(주),520000,50.00%,-,-,520000,50.00%
31,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨아이서비스(주),40000,3.85%,-,-,40000,3.85%
32,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨아이콘트롤스(주),40000,3.85%,-,-,40000,3.85%
33,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨자산운용(주),40000,3.85%,-,-,40000,3.85%
34,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,,-,-,-,-
35,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,동일인측 합계,동일인측 합계,/,640000,61.54%,-,-,640000,61.54%
36,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
37,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,기타주주,기타,기타,/,400000,38.46%,-,-,400000,38.46%
38,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,총 계,총 계,총 계,/,1040000,100%,-,-,1040000,100%
39,비금융회사,미래비아이(주),동일인측,동일인,동일인,-,-,,-,-,-,-
40,비금융회사,미래비아이(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
41,비금융회사,미래비아이(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
42,비금융회사,미래비아이(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
43,비금융회사,미래비아이(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
44,비금융회사,미래비아이(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
45,비금융회사,미래비아이(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
