,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,에이치디씨(주),동일인측,동일인,동일인,정몽규,20120129,33.68%,-,-,20120129,33.68%
1,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,Kim Julie Ann,46000,0.08%,-,-,46000,0.08%
2,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,박영자,30034,0.05%,-,-,30034,0.05%
3,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,정준선,150000,0.25%,-,-,150000,0.25%
4,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,정원선,150000,0.25%,-,-,150000,0.25%
5,비금융회사,에이치디씨(주),동일인측,친족,배우자/혈족1촌,정운선,90000,0.15%,-,-,90000,0.15%
6,비금융회사,에이치디씨(주),동일인측,친족,혈족2~4촌,정숙영,316131,0.53%,-,-,316131,0.53%
7,비금융회사,에이치디씨(주),동일인측,친족,혈족2~4촌,정유경,223588,0.37%,-,-,223588,0.37%
8,비금융회사,에이치디씨(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
9,비금융회사,에이치디씨(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
10,비금융회사,에이치디씨(주),동일인측,친족,친족 합계,/,1005753,1.68%,-,-,1005753,1.68%
11,비금융회사,에이치디씨(주),동일인측,비영리법인,비영리법인,포니정장학재단,83428,0.14%,-,-,83428,0.14%
12,비금융회사,에이치디씨(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
13,비금융회사,에이치디씨(주),동일인측,자기주식,자기주식,에이치디씨(주),4832224,8.08%,-,-,4832224,8.08%
14,비금융회사,에이치디씨(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),엠엔큐투자파트너스(유),1509657,2.53%,-,-,1509657,2.53%
15,비금융회사,에이치디씨(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
16,비금융회사,에이치디씨(주),동일인측,동일인측 합계,동일인측 합계,/,27551191,46.12%,,,27551191,46.12%
17,비금융회사,에이치디씨(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
18,비금융회사,에이치디씨(주),기타주주,기타,기타,/,32190530,53.88%,-,-,32190530,53.88%
19,비금융회사,에이치디씨(주),총 계,총 계,총 계,/,59741721,100%,-,-,59741721,100%
20,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,동일인,동일인,-,-,-,-,-,-,-
21,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
22,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
23,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
24,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
25,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,친족,친족 합계,/,-,-,-,-,-,-
26,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
27,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
28,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
29,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치디씨현대산업개발(주),12000,60.00%,-,-,12000,60.00%
30,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
31,비금융회사,(주)광명문화관광복합단지자산관리,동일인측,동일인측 합계,동일인측 합계,/,12000,60.00%,-,-,12000,60.00%
32,비금융회사,(주)광명문화관광복합단지자산관리,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,제일건설(주),8000,40.00%,-,-,8000,40.00%
33,비금융회사,(주)광명문화관광복합단지자산관리,기타주주,기타,기타,/,-,-,-,-,-,-
34,비금융회사,(주)광명문화관광복합단지자산관리,총 계,총 계,총 계,/,20000,100.00%,-,-,20000,100.00%
35,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,동일인,동일인,-,-,-,-,-,-,-
36,비금융회사,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
