,계열사명,계열사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,계열사명,계열사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비 금 융 회 사,㈜디씨알이,동 일 인 측,동일인,동일인,,,,,,,
1,비 금 융 회 사,㈜디씨알이,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
2,비 금 융 회 사,㈜디씨알이,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
3,비 금 융 회 사,㈜디씨알이,동 일 인 측,친 족,혈족2~4촌,,,,,,,
4,비 금 융 회 사,㈜디씨알이,동 일 인 측,친 족,혈족5~6촌,,,,,,,
5,비 금 융 회 사,㈜디씨알이,동 일 인 측,친 족,인척4촌이내,,,,,,,
6,비 금 융 회 사,㈜디씨알이,동 일 인 측,친 족,친족합계,,,,,,,
7,비 금 융 회 사,㈜디씨알이,동 일 인 측,비영리법인,비영리법인,,,,,,,
8,비 금 융 회 사,㈜디씨알이,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
9,비 금 융 회 사,㈜디씨알이,동 일 인 측,자기주식,자기주식,,,,,,,
10,비 금 융 회 사,㈜디씨알이,동 일 인 측,계열회사 (국내+해외),계열회사 (국내+해외),오씨아이㈜,20029818.0,100.00%,,,20029818.0,100.00%
11,비 금 융 회 사,㈜디씨알이,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
12,비 금 융 회 사,㈜디씨알이,동 일 인 측,동일인측 합계,동일인측 합계,,20029818.0,100.00%,,,20029818.0,100.00%
13,비 금 융 회 사,㈜디씨알이,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
14,비 금 융 회 사,㈜디씨알이,기타 주주,기타,기타,,,,,,,
15,비 금 융 회 사,㈜디씨알이,총계,총계,총계,,20029818.0,100.00%,,,20029818.0,100.00%
16,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,동일인,동일인,,,,,,,
17,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
18,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
19,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,친 족,혈족2~4촌,이화영,180000.0,64.29%,,,180000.0,64.29%
20,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,친 족,혈족2~4촌,이우일,100000.0,35.71%,,,100000.0,35.71%
21,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,친 족,혈족5~6촌,,,,,,,
22,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,친 족,인척4촌이내,,,,,,,
23,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,친 족,친족합계,,280000.0,100.00%,,,280000.0,100.00%
24,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,비영리법인,비영리법인,,,,,,,
25,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
26,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,자기주식,자기주식,,,,,,,
27,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,
28,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
29,비 금 융 회 사,㈜유니드 글로벌 상사,동 일 인 측,동일인측 합계,동일인측 합계,,280000.0,100.00%,,,280000.0,100.00%
30,비 금 융 회 사,㈜유니드 글로벌 상사,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
31,비 금 융 회 사,㈜유니드 글로벌 상사,기타 주주,기타,기타,,,,,,,
32,비 금 융 회 사,㈜유니드 글로벌 상사,총계,총계,총계,,280000.0,100.00%,,,280000.0,100.00%
33,비 금 융 회 사,㈜유니드,동 일 인 측,동일인,동일인,이우현,20245.0,0.23%,,,20245.0,0.23%
34,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
35,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족2~4촌,이복영,50866.0,0.57%,,,50866.0,0.57%
36,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족2~4촌,이화영,830083.0,9.34%,,,830083.0,9.34%
37,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족2~4촌,이숙희,259808.0,2.92%,,,259808.0,2.92%
38,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족2~4촌,이정자,320924.0,3.61%,,,320924.0,3.61%
39,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족2~4촌,이우일,248521.0,2.80%,,,248521.0,2.80%
40,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족2~4촌,이주연,54000.0,0.61%,,,54000.0,0.61%
41,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족2~4촌,,,,,,,
42,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,혈족5~6촌,,,,,,,
43,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,인척4촌이내,이은영,70800.0,0.80%,,,70800.0,0.80%
44,비 금 융 회 사,㈜유니드,동 일 인 측,친 족,친족합계,,1835002.0,20.64%,,,1835002.0,20.64%
45,비 금 융 회 사,㈜유니드,동 일 인 측,비영리법인,비영리법인,,,,,,,
46,비 금 융 회 사,㈜유니드,동 일 인 측,등기된 임원,등기된 임원,권영만,2200.0,0.02%,,,2200.0,0.02%
47,비 금 융 회 사,㈜유니드,동 일 인 측,등기된 임원,등기된 임원,,,,,,,
48,비 금 융 회 사,㈜유니드,동 일 인 측,자기주식,자기주식,,,,,,,
49,비 금 융 회 사,㈜유니드,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),(주)유니드글로벌상사,2227499.0,25.06%,,,2227499.0,25.06%
50,비 금 융 회 사,㈜유니드,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,
51,비 금 융 회 사,㈜유니드,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
52,비 금 융 회 사,㈜유니드,동 일 인 측,동일인측 합계,동일인측 합계,,4084946.0,45.95%,,,4084946.0,45.95%
53,비 금 융 회 사,㈜유니드,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
54,비 금 융 회 사,㈜유니드,기타 주주,기타,기타,,4804897.0,54.05%,,,4804897.0,54.05%
55,비 금 융 회 사,㈜유니드,총계,총계,총계,,8889843.0,100.00%,,,8889843.0,100.00%
56,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,동일인,동일인,,,,,,,
57,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
58,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
59,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,혈족2~4촌,이화영,264280.0,2.76%,,,264280.0,2.76%
60,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,혈족2~4촌,이우일,200000.0,2.09%,,,200000.0,2.09%
61,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,혈족2~4촌,이희현,160000.0,1.67%,,,160000.0,1.67%
62,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,혈족5~6촌,,,,,,,
63,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,인척4촌이내,이은영,160000.0,1.67%,,,160000.0,1.67%
64,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,인척4촌이내,한상준,240000.0,2.51%,,,240000.0,2.51%
65,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,친 족,친족합계,,1024280.0,10.70%,,,1024280.0,10.70%
66,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,비영리법인,비영리법인,,,,,,,
67,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,등기된 임원,등기된 임원,정의승,24000.0,0.25%,,,24000.0,0.25%
68,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,등기된 임원,등기된 임원,이종탁,10000.0,0.10%,,,10000.0,0.10%
69,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,등기된 임원,등기된 임원,김호경,6000.0,0.06%,,,6000.0,0.06%
70,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,자기주식,자기주식,,,,,,,
71,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜유니드,6607008.0,69.00%,,,6607008.0,69.00%
72,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),㈜유니드글로벌상사,1632000.0,17.04%,,,1632000.0,17.04%
73,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,
74,비 금 융 회 사,㈜유니드 엘이디,동 일 인 측,동일인측 합계,동일인측 합계,,9303288.0,97.16%,,,9303288.0,97.16%
75,비 금 융 회 사,㈜유니드 엘이디,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,
76,비 금 융 회 사,㈜유니드 엘이디,기타 주주,기타,기타,,271987.0,2.84%,,,271987.0,2.84%
77,비 금 융 회 사,㈜유니드 엘이디,총계,총계,총계,,9575275.0,100.00%,,,9575275.0,100.00%
78,비 금 융 회 사,㈜이테크 건설,동 일 인 측,동일인,동일인,,,,,,,
79,비 금 융 회 사,㈜이테크 건설,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
80,비 금 융 회 사,㈜이테크 건설,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,
81,비 금 융 회 사,㈜이테크 건설,동 일 인 측,친 족,혈족2~4촌,이복영,159720.0,5.70%,,,159720.0,5.70%
82,비 금 융 회 사,㈜이테크 건설,동 일 인 측,친 족,혈족2~4촌,이우성,144008.0,5.14%,,,144008.0,5.14%
83,비 금 융 회 사,㈜이테크 건설,동 일 인 측,친 족,혈족5~6촌,,,,,,,
84,비 금 융 회 사,㈜이테크 건설,동 일 인 측,친 족,인척4촌이내,,,,,,,
85,비 금 융 회 사,㈜이테크 건설,동 일 인 측,친 족,친족합계,,303728.0,10.85%,,,303728.0,10.85%
86,비 금 융 회 사,㈜이테크 건설,동 일 인 측,비영리법인,비영리법인,,,,,,,
87,비 금 융 회 사,㈜이테크 건설,동 일 인 측,등기된 임원,등기된 임원,조동석,4443.0,0.16%,,,4443.0,0.16%
88,비 금 융 회 사,㈜이테크 건설,동 일 인 측,자기주식,자기주식,㈜이테크건설,175923.0,6.28%,,,175923.0,6.28%
89,비 금 융 회 사,㈜이테크 건설,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),삼광글라스㈜,860000.0,30.71%,,,860000.0,30.71%
