,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,에쓰-오일(주),동일인측,동일인,동일인,-,0,0.00%,0,0.00%,0,0.00
1,비금융회사,에쓰-오일(주),동일인측,친족,배우자/혈족1촌,-,0,0.00%,0,0.00%,0,0.00%
2,비금융회사,에쓰-오일(주),동일인측,친족,혈족2~4촌,-,0,0.00%,0,0.00%,0,0.00%
3,비금융회사,에쓰-오일(주),동일인측,친족,혈족5~6촌,-,0,0.00%,0,0.00%,0,0.00%
4,비금융회사,에쓰-오일(주),동일인측,친족,인척 4촌 이내,-,0,0.00%,0,0.00%,0,0.00%
5,비금융회사,에쓰-오일(주),동일인측,친족,친족 합계,/,0,0.00%,0,0.00%,0,0.00%
6,비금융회사,에쓰-오일(주),동일인측,비영리법인,비영리법인,-,0,0.00%,0,0.00%,0,0.00%
7,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,오스만 알-감디,2458,0.00%,0,0.00%,2458,0.00%
8,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,강기태,1450,0.00%,0,0.00%,1450,0.00%
9,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,김철수,522,0.00%,0,0.00%,522,0.00%
10,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,방주완,9500,0.01%,100,0.00%,9600,0.01%
11,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,신혁,5410,0.00%,0,0.00%,5410,0.00%
12,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,안종범,9140,0.01%,0,0.00%,9140,0.01%
13,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,이상열,6640,0.01%,0,0.00%,6640,0.01%
14,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,이승원,3718,0.00%,18,0.00%,3736,0.00%
15,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,황인태,500,0.00%,0,0.00%,500,0.00%
16,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,조용국,3100,0.00%,0,0.00%,3100,0.00%
17,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,안종필,800,0.00%,0,0.00%,800,0.00%
18,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,조영일,8000,0.01%,0,0.00%,8000,0.01%
19,비금융회사,에쓰-오일(주),동일인측,등기된 임원,등기된 임원,박봉수,8360,0.01%,0,0.00%,8360,0.01%
20,비금융회사,에쓰-오일(주),동일인측,자기주식,자기주식,-,0,0.00%,184080,4.58%,184080,0.16%
21,비금융회사,에쓰-오일(주),동일인측,계열회사,계열회사,-,0,0.00%,0,0.00%,0,0.00%
22,비금융회사,에쓰-오일(주),동일인측,동일인측 합계,동일인측 합계,/,59598,0.05%,184198,4.58%,243796,0.21%
23,비금융회사,에쓰-오일(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,A.O.C.B.V,71387560,63.41%,351502,8.74%,71739062,61.52%
24,비금융회사,에쓰-오일(주),기타주주,기타,기타,-,41135634,36.54%,3486227,86.68%,44621861,38.27%
25,비금융회사,에쓰-오일(주),총 계,총 계,총 계,/,112582792,100.00%,4021927,100.00%,116604719,100.00%
26,비금융회사,에쓰-오일토탈윤활유(주),동일인측,동일인,동일인,에쓰-오일㈜,3500001,50.00%,0,0.00%,3500001,50.00%
27,비금융회사,에쓰-오일토탈윤활유(주),동일인측,친족,배우자/혈족1촌,-,0,0.00%,0,0.00%,0,0.00%
28,비금융회사,에쓰-오일토탈윤활유(주),동일인측,친족,혈족2~4촌,-,0,0.00%,0,0.00%,0,0.00%
29,비금융회사,에쓰-오일토탈윤활유(주),동일인측,친족,혈족5~6촌,-,0,0.00%,0,0.00%,0,0.00%
30,비금융회사,에쓰-오일토탈윤활유(주),동일인측,친족,인척 4촌 이내,-,0,0.00%,0,0.00%,0,0.00%
31,비금융회사,에쓰-오일토탈윤활유(주),동일인측,친족,친족 합계,/,0,0.00%,0,0.00%,0,0.00%
32,비금융회사,에쓰-오일토탈윤활유(주),동일인측,비영리법인,비영리법인,-,0,0.00%,0,0.00%,0,0.00%
33,비금융회사,에쓰-오일토탈윤활유(주),동일인측,등기된 임원,등기된 임원,-,0,0.00%,0,0.00%,0,0.00%
34,비금융회사,에쓰-오일토탈윤활유(주),동일인측,자기주식,자기주식,-,0,0.00%,0,0.00%,0,0.00%
35,비금융회사,에쓰-오일토탈윤활유(주),동일인측,계열회사,계열회사,-,0,0.00%,0,0.00%,0,0.00%
36,비금융회사,에쓰-오일토탈윤활유(주),동일인측,동일인측 합계,동일인측 합계,/,3500001,50.00%,0,0.00%,3500001,50.00%
37,비금융회사,에쓰-오일토탈윤활유(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,TOTAL Marketing Services S.A.,3499999,50.00%,0,0.00%,3499999,50.00%
38,비금융회사,에쓰-오일토탈윤활유(주),기타주주,기타,기타,-,0,0.00%,0,0.00%,0,0.00%
39,비금융회사,에쓰-오일토탈윤활유(주),총 계,총 계,총 계,/,7000000,100.00%,0,0.00%,7000000,100.00%
40,비금융회사,동북화학(주),동일인측,동일인,동일인,에쓰-오일㈜,473000,100.00%,0,0.00%,473000,100.00%
41,비금융회사,동북화학(주),동일인측,친족,배우자/혈족1촌,-,0,0.00%,0,0.00%,0,0.00%
42,비금융회사,동북화학(주),동일인측,친족,혈족2~4촌,-,0,0.00%,0,0.00%,0,0.00%
43,비금융회사,동북화학(주),동일인측,친족,혈족5~6촌,-,0,0.00%,0,0.00%,0,0.00%
44,비금융회사,동북화학(주),동일인측,친족,인척 4촌 이내,-,0,0.00%,0,0.00%,0,0.00%
45,비금융회사,동북화학(주),동일인측,친족,친족 합계,/,0,0.00%,0,0.00%,0,0.00%
46,비금융회사,동북화학(주),동일인측,비영리법인,비영리법인,-,0,0.00%,0,0.00%,0,0.00%
47,비금융회사,동북화학(주),동일인측,등기된 임원,등기된 임원,-,0,0.00%,0,0.00%,0,0.00%
48,비금융회사,동북화학(주),동일인측,자기주식,자기주식,-,0,0.00%,0,0.00%,0,0.00%
49,비금융회사,동북화학(주),동일인측,계열회사,계열회사,-,0,0.00%,0,0.00%,0,0.00%
50,비금융회사,동북화학(주),동일인측,동일인측 합계,동일인측 합계,/,0,0.00%,0,0.00%,0,0.00%
51,비금융회사,동북화학(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,0,0.00%,0,0.00%,0,0.00%
52,비금융회사,동북화학(주),기타주주,기타,기타,-,0,0.00%,0,0.00%,0,0.00%
53,비금융회사,동북화학(주),총 계,총 계,총 계,/,473000,100.00%,0,0.00%,473000,100.00%
54,금융회사,해당없음,-,-,-,-,-,-,-,-,-,-
