,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,에스케이㈜,동일인측,동일인,동일인,최태원,12975472,18.44%,-,-,12975472,18.29%
1,비금융회사,에스케이㈜,동일인측,친족,배우자/혈족1촌,노소영,8616,0.01%,-,-,8616,0.01%
2,비금융회사,에스케이㈜,동일인측,친족,혈족2~4촌,최기원,5116668,7.27%,-,-,5116668,7.21%
3,비금융회사,에스케이㈜,동일인측,친족,혈족2~4촌,최재원,1660000,2.36%,-,-,1660000,2.34%
4,비금융회사,에스케이㈜,동일인측,친족,혈족2~4촌,최신원,101000,0.14%,-,-,101000,0.14%
5,비금융회사,에스케이㈜,동일인측,친족,혈족5~6촌,최성환,453117,0.64%,-,-,453117,0.64%
6,비금융회사,에스케이㈜,동일인측,친족,혈족5~6촌,최유진,118113,0.17%,-,-,118113,0.17%
7,비금융회사,에스케이㈜,동일인측,친족,혈족5~6촌,최영진,125000,0.18%,-,-,125000,0.18%
8,비금융회사,에스케이㈜,동일인측,친족,혈족5~6촌,박현선,34499,0.05%,-,-,34499,0.05%
9,비금융회사,에스케이㈜,동일인측,친족,혈족5~6촌,박민선,34499,0.05%,-,-,34499,0.05%
10,비금융회사,에스케이㈜,동일인측,친족,인척 4촌 이내,,-,-,-,-,-,-
11,비금융회사,에스케이㈜,동일인측,친족,친족 합계,/,7651512,10.87%,-,-,7651512,10.79%
12,비금융회사,에스케이㈜,동일인측,비영리법인,비영리법인,최종현학술원,185000,0.26%,-,-,185000,0.26%
13,비금융회사,에스케이㈜,동일인측,등기된임원,등기된임원,박정호,280,-,-,-,280,-
14,비금융회사,에스케이㈜,동일인측,자기주식,자기주식,에스케이㈜,14535950,20.66%,1818,0.32%,14537768,20.50%
15,비금융회사,에스케이㈜,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,-,-,-,-,-,-
16,비금융회사,에스케이㈜,동일인측,기타 동일인관련자,기타 동일인관련자,,-,-,-,-,-,-
17,비금융회사,에스케이㈜,동일인측,동일인측 합계,동일인측 합계,/,35348214,50.24%,1818,0.32%,35350032,49.84%
18,비금융회사,에스케이㈜,기타주주,동일인측이 아닌 최대주주,동일인측이 아닌 최대주주,,-,-,-,-,-,-
19,비금융회사,에스케이㈜,기타주주,기타,기타,/,35012083,49.76%,564317,99.68%,35576400,50.16%
20,비금융회사,에스케이㈜,총계,총계,총계,/,70360297,100.00%,566135,100.00%,70926432,100.00%
21,비금융회사,㈜나노엔텍,동일인측,동일인,동일인,,-,-,-,-,-,-
22,비금융회사,㈜나노엔텍,동일인측,친족,배우자/혈족1촌,,-,-,-,-,-,-
23,비금융회사,㈜나노엔텍,동일인측,친족,혈족2~4촌,,-,-,-,-,-,-
24,비금융회사,㈜나노엔텍,동일인측,친족,혈족5~6촌,,-,-,-,-,-,-
