,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,금호산업㈜,동일인측,동일인,동일인,박삼구,10000,0.03%,-,,10000,0.03%
1,비금융회사,금호산업㈜,동일인측,친족,배우자/혈족1촌,,-,,-,,-,
2,비금융회사,금호산업㈜,동일인측,친족,혈족2~4촌,,-,,-,,-,
3,비금융회사,금호산업㈜,동일인측,친족,혈족5~6촌,,-,,-,,-,
4,비금융회사,금호산업㈜,동일인측,친족,인척 4촌 이내,,-,,-,,-,
5,비금융회사,금호산업㈜,동일인측,친족,친족 합계,,-,,-,,-,
6,비금융회사,금호산업㈜,동일인측,비영리법인,비영리법인,금호아시아나문화재단,8352,0.02%,,0.00%,8352,0.02%
7,비금융회사,금호산업㈜,동일인측,등기된 임원,등기된 임원,서재환,10000,0.03%,,0.00%,10000,0.03%
8,비금융회사,금호산업㈜,동일인측,등기된 임원,등기된 임원,윤병철,20040,0.05%,,0.00%,20040,0.05%
9,비금융회사,금호산업㈜,동일인측,등기된 임원,등기된 임원,이정효,31,0.00%,,0.00%,31,0.00%
10,비금융회사,금호산업㈜,동일인측,자기주식,자기주식,금호산업㈜,1058229,2.94%,2436,0.83%,1060665,2.92%
11,비금융회사,금호산업㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),금호고속㈜,16325327,45.30%,-,0.00%,16325327,44.94%
12,비금융회사,금호산업㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
13,비금융회사,금호산업㈜,동일인측,동일인측 합계,동일인측 합계,,17431979,48.37%,2436,0.83%,17434415,47.99%
14,비금융회사,금호산업㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,-,,-,,-,
15,비금융회사,금호산업㈜,기타주주,기타,기타,,18603370,51.63%,289830,99.17%,18893200,52.01%
16,비금융회사,금호산업㈜,총 계,총 계,총 계,,36035349,100.00%,292266,100.00%,36327615,100.00%
17,비금융회사,아시아나항공㈜,동일인측,동일인,동일인,박삼구,10000,0.00%,-,,10000,0.00%
18,비금융회사,아시아나항공㈜,동일인측,친족,배우자/혈족1촌,,-,,-,,-,
19,비금융회사,아시아나항공㈜,동일인측,친족,혈족2~4촌,,-,,-,,-,
20,비금융회사,아시아나항공㈜,동일인측,친족,혈족5~6촌,,-,,-,,-,
21,비금융회사,아시아나항공㈜,동일인측,친족,인척 4촌 이내,,-,,-,,-,
22,비금융회사,아시아나항공㈜,동일인측,친족,친족 합계,,-,,-,,-,
23,비금융회사,아시아나항공㈜,동일인측,비영리법인,비영리법인,,-,,-,,-,
24,비금융회사,아시아나항공㈜,동일인측,등기된 임원,등기된 임원,한창수,22980,0.01%,-,,22980,0.01%
25,비금융회사,아시아나항공㈜,동일인측,등기된 임원,등기된 임원,조규영,2700,0.00%,-,,2700,0.00%
26,비금융회사,아시아나항공㈜,동일인측,등기된 임원,등기된 임원,오근녕,1280,0.00%,-,,1280,0.00%
27,비금융회사,아시아나항공㈜,동일인측,자기주식,자기주식,,-,,-,,-,
28,비금융회사,아시아나항공㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),금호산업(주),68688063,31.05%,-,,68688063,31.05%
29,비금융회사,아시아나항공㈜,동일인측,기타 동일인관련자,기타 동일인관련자,,-,,-,,-,
30,비금융회사,아시아나항공㈜,동일인측,동일인측 합계,동일인측 합계,,68725023,31.06%,-,,68725023,31.06%
31,비금융회사,아시아나항공㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,-,,-,,-,
32,비금융회사,아시아나항공㈜,기타주주,기타,기타,,152510271,68.94%,-,,152510271,68.94%
33,비금융회사,아시아나항공㈜,총 계,총 계,총 계,,221235294,100.00%,-,,221235294,100.00%
34,비금융회사,금호고속관광㈜ [경기],동일인측,동일인,동일인,,-,,-,,-,
35,비금융회사,금호고속관광㈜ [경기],동일인측,친족,배우자/혈족1촌,,-,,-,,-,
36,비금융회사,금호고속관광㈜ [경기],동일인측,친족,혈족2~4촌,,-,,-,,-,
