,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,농협경제지주(주),동일인측,동일인,동일인,농업협동조합중앙회,731488091,100.00,-,-,731488091,100.00
1,비금융회사,농협경제지주(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,비금융회사,농협경제지주(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
3,비금융회사,농협경제지주(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
4,비금융회사,농협경제지주(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
5,비금융회사,농협경제지주(주),동일인측,친족,친족합계,-,-,-,-,-,-,-
6,비금융회사,농협경제지주(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
7,비금융회사,농협경제지주(주),동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
8,비금융회사,농협경제지주(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
9,비금융회사,농협경제지주(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
10,비금융회사,농협경제지주(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
11,비금융회사,농협경제지주(주),동일인측,동일인측합계,동일인측합계,-,731488091,100.00,-,-,731488091,100.00
12,비금융회사,농협경제지주(주),기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
13,비금융회사,농협경제지주(주),기타주주,기타,기타,-,-,-,-,-,-,-
14,비금융회사,농협경제지주(주),총계,총계,총계,-,731488091,100.00,-,-,731488091,100.00
15,비금융회사,(주)농협하나로유통,동일인측,동일인,동일인,-,-,-,-,-,-,-
16,비금융회사,(주)농협하나로유통,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
17,비금융회사,(주)농협하나로유통,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
18,비금융회사,(주)농협하나로유통,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
19,비금융회사,(주)농협하나로유통,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
20,비금융회사,(주)농협하나로유통,동일인측,친족,친족합계,-,-,-,-,-,-,-
21,비금융회사,(주)농협하나로유통,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
22,비금융회사,(주)농협하나로유통,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
23,비금융회사,(주)농협하나로유통,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
24,비금융회사,(주)농협하나로유통,동일인측,계열회사(국내+해외),계열회사(국내+해외),농협경제지주(주),100000000,100.00,-,-,100000000,100.00
25,비금융회사,(주)농협하나로유통,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
26,비금융회사,(주)농협하나로유통,동일인측,동일인측합계,동일인측합계,-,100000000,100.00,-,-,100000000,100.00
27,비금융회사,(주)농협하나로유통,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
28,비금융회사,(주)농협하나로유통,기타주주,기타,기타,-,-,-,-,-,-,-
29,비금융회사,(주)농협하나로유통,총계,총계,총계,-,100000000,100.00,-,-,100000000,100.00
30,비금융회사,(주)농협유통,동일인측,동일인,동일인,-,-,-,-,-,-,-
31,비금융회사,(주)농협유통,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
32,비금융회사,(주)농협유통,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
33,비금융회사,(주)농협유통,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
34,비금융회사,(주)농협유통,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
35,비금융회사,(주)농협유통,동일인측,친족,친족합계,-,-,-,-,-,-,-
36,비금융회사,(주)농협유통,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
37,비금융회사,(주)농협유통,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
38,비금융회사,(주)농협유통,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
39,비금융회사,(주)농협유통,동일인측,계열회사(국내+해외),계열회사(국내+해외),농협경제지주(주),11404000,100.00,-,-,11404000,100.00
40,비금융회사,(주)농협유통,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
41,비금융회사,(주)농협유통,동일인측,동일인측합계,동일인측합계,-,11404000,100.00,-,-,11404000,100.00
42,비금융회사,(주)농협유통,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
43,비금융회사,(주)농협유통,기타주주,기타,기타,-,-,-,-,-,-,-
44,비금융회사,(주)농협유통,총계,총계,총계,-,11404000,100.00,-,-,11404000,100.00
45,비금융회사,(주)농협충북유통,동일인측,동일인,동일인,-,-,-,-,-,-,-
46,비금융회사,(주)농협충북유통,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
47,비금융회사,(주)농협충북유통,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
48,비금융회사,(주)농협충북유통,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
49,비금융회사,(주)농협충북유통,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
50,비금융회사,(주)농협충북유통,동일인측,친족,친족합계,-,-,-,-,-,-,-
51,비금융회사,(주)농협충북유통,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
52,비금융회사,(주)농협충북유통,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
53,비금융회사,(주)농협충북유통,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
54,비금융회사,(주)농협충북유통,동일인측,계열회사(국내+해외),계열회사(국내+해외),농협경제지주(주),928912,70.91,-,-,928912,70.91
55,비금융회사,(주)농협충북유통,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
56,비금융회사,(주)농협충북유통,동일인측,동일인측합계,동일인측합계,-,928912,70.91,-,-,928912,70.91
57,비금융회사,(주)농협충북유통,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
58,비금융회사,(주)농협충북유통,기타주주,기타,기타,-,381088,29.09,-,-,381088,29.09
59,비금융회사,(주)농협충북유통,총계,총계,총계,-,1310000,100.00,-,-,1310000,100.00
60,비금융회사,(주)농협대전유통,동일인측,동일인,동일인,-,-,-,-,-,-,-
61,비금융회사,(주)농협대전유통,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
62,비금융회사,(주)농협대전유통,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
63,비금융회사,(주)농협대전유통,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
64,비금융회사,(주)농협대전유통,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
65,비금융회사,(주)농협대전유통,동일인측,친족,친족합계,-,-,-,-,-,-,-
66,비금융회사,(주)농협대전유통,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
67,비금융회사,(주)농협대전유통,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
68,비금융회사,(주)농협대전유통,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
69,비금융회사,(주)농협대전유통,동일인측,계열회사(국내+해외),계열회사(국내+해외),농협경제지주(주),5629612,93.92,-,-,5629612,93.92
70,비금융회사,(주)농협대전유통,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
71,비금융회사,(주)농협대전유통,동일인측,동일인측합계,동일인측합계,-,5629612,93.92,-,-,5629612,93.92
72,비금융회사,(주)농협대전유통,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
73,비금융회사,(주)농협대전유통,기타주주,기타,기타,-,364711,6.08,-,-,364711,6.08
74,비금융회사,(주)농협대전유통,총계,총계,총계,-,5994323,100.00,-,-,5994323,100.00
75,비금융회사,(주)농협부산경남유통,동일인측,동일인,동일인,-,-,-,-,-,-,-
76,비금융회사,(주)농협부산경남유통,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
77,비금융회사,(주)농협부산경남유통,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
78,비금융회사,(주)농협부산경남유통,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
79,비금융회사,(주)농협부산경남유통,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
80,비금융회사,(주)농협부산경남유통,동일인측,친족,친족합계,-,-,-,-,-,-,-
81,비금융회사,(주)농협부산경남유통,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
82,비금융회사,(주)농협부산경남유통,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
83,비금융회사,(주)농협부산경남유통,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
84,비금융회사,(주)농협부산경남유통,동일인측,계열회사(국내+해외),계열회사(국내+해외),농협경제지주(주),3620000,100.00,-,-,3620000,100.00
85,비금융회사,(주)농협부산경남유통,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
86,비금융회사,(주)농협부산경남유통,동일인측,동일인측합계,동일인측합계,-,3620000,100.00,-,-,3620000,100.00
87,비금융회사,(주)농협부산경남유통,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
88,비금융회사,(주)농협부산경남유통,기타주주,기타,기타,-,-,-,-,-,-,-
89,비금융회사,(주)농협부산경남유통,총계,총계,총계,-,3620000,100.00,-,-,3620000,100.00
90,비금융회사,남해화학(주),동일인측,동일인,동일인,-,-,-,-,-,-,-
91,비금융회사,남해화학(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
92,비금융회사,남해화학(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
93,비금융회사,남해화학(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
94,비금융회사,남해화학(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
