,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,㈜대우건설,동일인측,동일인,동일인,-,-,-,-,-,-,-
1,비금융회사,㈜대우건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,비금융회사,㈜대우건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
3,비금융회사,㈜대우건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
4,비금융회사,㈜대우건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
5,비금융회사,㈜대우건설,동일인측,친족,친족 합계,-,-,-,-,-,-,-
6,비금융회사,㈜대우건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
7,비금융회사,㈜대우건설,동일인측,등기된 임원,등기된 임원,김형,19387,0.00%,-,-,19387,0.00%
8,비금융회사,㈜대우건설,동일인측,등기된 임원,등기된 임원,이현석,986,0.00%,-,-,986,0.00%
9,비금융회사,㈜대우건설,동일인측,자기주식,자기주식,㈜대우건설,4736918,1.14%,-,-,4736918,1.14%
10,비금융회사,㈜대우건설,동일인측,계열회사,계열회사,-,-,-,-,-,-,-
11,비금융회사,㈜대우건설,동일인측,동일인측 합계,동일인측 합계,-,4757291,1.14%,-,-,4757219,1.14%
12,비금융회사,㈜대우건설,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,케이디비인베스트먼트제일호유한회사,210931209,50.75%,-,-,210931209,50.75%
13,비금융회사,㈜대우건설,기타주주,기타,기타,-,199934138,48.11%,-,-,199934138,48.11%
14,비금융회사,㈜대우건설,총 계,총 계,총 계,-,415622638,100.00%,-,-,415622638,100.00%
15,비금융회사,㈜고촌복합개발자산관리,동일인측,동일인,동일인,㈜대우건설,9800,49.00%,-,-,9800,49.00%
16,비금융회사,㈜고촌복합개발자산관리,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
17,비금융회사,㈜고촌복합개발자산관리,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
18,비금융회사,㈜고촌복합개발자산관리,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
19,비금융회사,㈜고촌복합개발자산관리,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
20,비금융회사,㈜고촌복합개발자산관리,동일인측,친족,친족 합계,-,-,-,-,-,-,-
21,비금융회사,㈜고촌복합개발자산관리,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
22,비금융회사,㈜고촌복합개발자산관리,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
23,비금융회사,㈜고촌복합개발자산관리,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
24,비금융회사,㈜고촌복합개발자산관리,동일인측,계열회사,계열회사,-,-,-,-,-,-,-
25,비금융회사,㈜고촌복합개발자산관리,동일인측,동일인측 합계,동일인측 합계,-,9800,49.00%,-,-,9800,49.00%
