,소속회사명,소속회사명,동일인과의관계,동일인과의관계,동일인과의관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의관계,동일인과의관계.1,동일인과의관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,롯데지주㈜,동일인측,동일인,동일인,신동빈,12283541,11.71%,23085,2.34%,12306626,11.62%
1,비금융회사,롯데지주㈜,동일인측,친족,배우자/혈족1촌,신격호,3245425,3.09%,139847,14.16%,3385272,3.20%
2,비금융회사,롯데지주㈜,동일인측,친족,혈족2~4촌,신영자,2352422,2.24%,14814,1.50%,2367236,2.24%
3,비금융회사,롯데지주㈜,동일인측,친족,혈족2~4촌,신동주,171673,0.16%,0,0.00%,171673,0.16%
4,비금융회사,롯데지주㈜,동일인측,친족,혈족2~4촌,장선윤,801,0.00%,0,0.00%,801,0.00%
5,비금융회사,롯데지주㈜,동일인측,친족,혈족2~4촌,장정안,77037,0.07%,0,0.00%,77037,0.07%
6,비금융회사,롯데지주㈜,동일인측,친족,혈족2~4촌,신유미,42254,0.04%,0,0.00%,42254,0.04%
7,비금융회사,롯데지주㈜,동일인측,친족,혈족5~6촌,조현욱,251,0.00%,1,0.00%,252,0.00%
8,비금융회사,롯데지주㈜,동일인측,친족,혈족5~6촌,신영우,34,0.00%,0,0.00%,34,0.00%
9,비금융회사,롯데지주㈜,동일인측,친족,혈족5~6촌,신복남,320,0.00%,0,0.00%,320,0.00%
10,비금융회사,롯데지주㈜,동일인측,친족,혈족5~6촌,최성원,367,0.00%,0,0.00%,367,0.00%
11,비금융회사,롯데지주㈜,동일인측,친족,혈족5~6촌,최성현,262,0.00%,0,0.00%,262,0.00%
12,비금융회사,롯데지주㈜,동일인측,친족,인척4촌 이내,오고 야요이,1792,0.00%,0,0.00%,1792,0.00%
13,비금융회사,롯데지주㈜,동일인측,친족,인척4촌 이내,조용완,5,0.00%,3,0.00%,8,0.00%
14,비금융회사,롯데지주㈜,동일인측,친족,인척4촌 이내,박희청,320,0.00%,0,0.00%,320,0.00%
15,비금융회사,롯데지주㈜,동일인측,친족,친족합계,친족합계,5892963,5.62%,154665,15.66%,6047628,5.71%
16,비금융회사,롯데지주㈜,동일인측,비영리법인,,(재)롯데문화재단,90869,0.09%,11728,1.19%,102597,0.10%
17,비금융회사,롯데지주㈜,동일인측,비영리법인,,(재)롯데장학재단,3394589,3.24%,50516,5.11%,3445105,3.25%
18,비금융회사,롯데지주㈜,동일인측,비영리법인,,사회복지법인 롯데삼동복지재단,54807,0.05%,0,0.00%,54807,0.05%
19,비금융회사,롯데지주㈜,동일인측,등기된임원,,황각규,74,0.00%,0,0.00%,74,0.00%
20,비금융회사,롯데지주㈜,동일인측,등기된임원,,이봉철,190,0.00%,0,0.00%,190,0.00%
21,비금융회사,롯데지주㈜,동일인측,등기된임원,,강희태,127,0.00%,0,0.00%,127,0.00%
22,비금융회사,롯데지주㈜,동일인측,등기된임원,,이원준,700,0.00%,0,0.00%,700,0.00%
23,비금융회사,롯데지주㈜,동일인측,등기된임원,,정승인,1157,0.00%,0,0.00%,1157,0.00%
24,비금융회사,롯데지주㈜,동일인측,자기주식,,롯데지주㈜,34103935,32.51%,280048,28.36%,34383983,32.47%
25,비금융회사,롯데지주㈜,동일인측,계열회사,,㈜호텔롯데,11644662,11.10%,47735,4.83%,11692397,11.04%
26,비금융회사,롯데지주㈜,동일인측,계열회사,,㈜부산롯데호텔,989749,0.94%,0,0.00%,989749,0.93%
27,비금융회사,롯데지주㈜,동일인측,계열회사,,롯데알미늄㈜,5313478,5.06%,38854,3.93%,5352332,5.05%
28,비금융회사,롯데지주㈜,동일인측,해외계열,,L제2투자회사,1548547,1.48%,0,0.00%,1548547,1.46%
29,비금융회사,롯데지주㈜,동일인측,해외계열,,L제12투자회사,823865,0.79%,0,0.00%,823865,0.78%
30,비금융회사,롯데지주㈜,동일인측,해외계열,,(주)롯데홀딩스,2613965,2.49%,0,0.00%,2613965,2.47%
31,비금융회사,롯데지주㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,78757218,75.07%,606631,61.42%,79363849,74.94%
32,비금융회사,롯데지주㈜,기타주주,기타,기타,기타,26152019,24.93%,380992,38.58%,26533011,25.06%
33,비금융회사,롯데지주㈜,롯데지주㈜ 합계,롯데지주㈜ 합계,롯데지주㈜ 합계,롯데지주㈜ 합계,104909237,100.00%,987623,100.00%,105896860,100.00%
34,비금융회사,㈜호텔롯데,동일인측,자기주식,,㈜호텔롯데,173604,0.17%,0,0.00%,173604,0.17%
35,비금융회사,㈜호텔롯데,동일인측,계열회사,,㈜부산롯데호텔,566100,0.55%,0,0.00%,566100,0.55%
36,비금융회사,㈜호텔롯데,동일인측,해외계열,,(주)롯데홀딩스,19515000,19.07%,0,0.00%,19515000,19.07%
37,비금융회사,㈜호텔롯데,동일인측,해외계열,,(주)광윤사,5580000,5.45%,0,0.00%,5580000,5.45%
38,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제1투자회사,8800000,8.60%,0,0.00%,8800000,8.60%
39,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제2투자회사,3400000,3.32%,0,0.00%,3400000,3.32%
40,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제4투자회사,16000000,15.63%,0,0.00%,16000000,15.63%
41,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제5투자회사,3685000,3.60%,0,0.00%,3685000,3.60%
42,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제6투자회사,4060000,3.97%,0,0.00%,4060000,3.97%
43,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제7투자회사,9620000,9.40%,0,0.00%,9620000,9.40%
44,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제8투자회사,5900000,5.76%,0,0.00%,5900000,5.76%
45,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제9투자회사,10650000,10.41%,0,0.00%,10650000,10.41%
46,비금융회사,㈜호텔롯데,동일인측,해외계열,,L 제10투자회사,4540000,4.44%,0,0.00%,4540000,4.44%
47,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제11투자회사,3400000,3.32%,0,0.00%,3400000,3.32%
48,비금융회사,㈜호텔롯데,동일인측,해외계열,,L제12투자회사,4300000,4.20%,0,0.00%,4300000,4.20%
49,비금융회사,㈜호텔롯데,동일인측,해외계열,,(주)패밀리,2160000,2.11%,0,0.00%,2160000,2.11%
50,비금융회사,㈜호텔롯데,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,102349704,100.00%,0,0.00%,102349704,100.00%
51,비금융회사,㈜호텔롯데,㈜호텔롯데 합계,㈜호텔롯데 합계,㈜호텔롯데 합계,㈜호텔롯데 합계,102349704,100.00%,0,0.00%,102349704,100.00%
52,비금융회사,롯데면세점제주㈜,동일인측,계열회사,,㈜호텔롯데,200000,100.00%,0,0.00%,200000,100.00%
53,비금융회사,롯데면세점제주㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,200000,100.00%,0,0.00%,200000,100.00%
54,비금융회사,롯데면세점제주㈜,롯데면세점제주㈜ 합계,롯데면세점제주㈜ 합계,롯데면세점제주㈜ 합계,롯데면세점제주㈜ 합계,200000,100.00%,0,0.00%,200000,100.00%
55,비금융회사,㈜부산롯데호텔,동일인측,자기주식,,㈜부산롯데호텔,1000,0.00%,0,0.00%,1000,0.00%
56,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,(주)롯데홀딩스,11375000,46.62%,0,0.00%,11375000,46.62%
57,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,(주)광윤사,1666000,6.83%,0,0.00%,1666000,6.83%
58,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,L제2투자회사,140000,0.57%,0,0.00%,140000,0.57%
59,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,L제3투자회사,5020000,20.57%,0,0.00%,5020000,20.57%
60,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,L제6투자회사,777000,3.18%,0,0.00%,777000,3.18%
61,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,L제7투자회사,1570000,6.43%,0,0.00%,1570000,6.43%
62,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,L제9투자회사,1480000,6.07%,0,0.00%,1480000,6.07%
63,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,L 제10투자회사,222000,0.91%,0,0.00%,222000,0.91%
64,비금융회사,㈜부산롯데호텔,동일인측,해외계열,,L제12투자회사,2150000,8.81%,0,0.00%,2150000,8.81%
65,비금융회사,㈜부산롯데호텔,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,24401000,100.00%,0,0.00%,24401000,100.00%
66,비금융회사,㈜부산롯데호텔,㈜부산롯데호텔 합계,㈜부산롯데호텔 합계,㈜부산롯데호텔 합계,㈜부산롯데호텔 합계,24401000,100.00%,0,0.00%,24401000,100.00%
67,비금융회사,롯데물산㈜,동일인측,동일인,동일인,신동빈,5296,0.01%,0,0.00%,5296,0.01%
68,비금융회사,롯데물산㈜,동일인측,친족,배우자/혈족1촌,신격호,4085850,6.87%,0,0.00%,4085850,6.87%
69,비금융회사,롯데물산㈜,동일인측,친족,혈족2~4촌,신영자,528,0.00%,0,0.00%,528,0.00%
70,비금융회사,롯데물산㈜,동일인측,친족,혈족2~4촌,신동주,7296,0.01%,0,0.00%,7296,0.01%
71,비금융회사,롯데물산㈜,동일인측,친족,친족합계,친족합계,4093674,6.89%,0,0.00%,4093674,6.89%
72,비금융회사,롯데물산㈜,동일인측,계열회사,,㈜호텔롯데,18508174,31.13%,0,0.00%,18508174,31.13%
73,비금융회사,롯데물산㈜,동일인측,해외계열,,(주)롯데홀딩스,33881736,56.99%,0,0.00%,33881736,56.99%
74,비금융회사,롯데물산㈜,동일인측,해외계열,,L제3투자회사,2960000,4.98%,0,0.00%,2960000,4.98%
75,비금융회사,롯데물산㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,59448880,100.00%,0,0.00%,59448880,100.00%
76,비금융회사,롯데물산㈜,롯데물산㈜ 합계,롯데물산㈜ 합계,롯데물산㈜ 합계,롯데물산㈜ 합계,59448880,100.00%,0,0.00%,59448880,100.00%
77,비금융회사,스마일위드㈜,동일인측,계열회사,,㈜호텔롯데,50000,100.00%,0,0.00%,50000,100.00%
78,비금융회사,스마일위드㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,50000,100.00%,0,0.00%,50000,100.00%
79,비금융회사,스마일위드㈜,스마일위드㈜ 합계,스마일위드㈜ 합계,스마일위드㈜ 합계,스마일위드㈜ 합계,50000,100.00%,0,0.00%,50000,100.00%
80,비금융회사,롯데디에프리테일㈜,동일인측,계열회사,,㈜호텔롯데,15530350,97.79%,0,0.00%,15530350,97.79%
81,비금융회사,롯데디에프리테일㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,15530350,97.79%,0,0.00%,15530350,97.79%
82,비금융회사,롯데디에프리테일㈜,기타주주,기타,기타,기타,350767,2.21%,0,0.00%,350767,2.21%
83,비금융회사,롯데디에프리테일㈜,롯데디에프리테일㈜ 합계,롯데디에프리테일㈜ 합계,롯데디에프리테일㈜ 합계,롯데디에프리테일㈜ 합계,15881117,100.00%,0,0.00%,15881117,100.00%
84,비금융회사,동교청기와피에프브이㈜,동일인측,계열회사,,㈜호텔롯데,1425000,100.00%,75000,100.00%,1500000,100.00%
85,비금융회사,동교청기와피에프브이㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,1425000,100.00%,75000,100.00%,1500000,100.00%
86,비금융회사,동교청기와피에프브이㈜,동교청기와피에프브이㈜ 합계,동교청기와피에프브이㈜ 합계,동교청기와피에프브이㈜ 합계,동교청기와피에프브이㈜ 합계,1425000,100.00%,75000,100.00%,1500000,100.00%
87,비금융회사,롯데제과㈜,동일인측,친족,배우자/혈족1촌,신격호,287408,4.48%,0,0.00%,287408,4.48%
88,비금융회사,롯데제과㈜,동일인측,친족,혈족2~4촌,신영자,106228,1.66%,0,0.00%,106228,1.66%
89,비금융회사,롯데제과㈜,동일인측,친족,혈족2~4촌,장정안,12964,0.20%,0,0.00%,12964,0.20%
90,비금융회사,롯데제과㈜,동일인측,친족,혈족5~6촌,최성원,62,0.00%,0,0.00%,62,0.00%
91,비금융회사,롯데제과㈜,동일인측,친족,혈족5~6촌,최성현,44,0.00%,0,0.00%,44,0.00%
92,비금융회사,롯데제과㈜,동일인측,친족,인척4촌 이내,오고 야요이,302,0.00%,0,0.00%,302,0.00%
93,비금융회사,롯데제과㈜,동일인측,친족,친족합계,친족합계,407008,6.34%,0,0.00%,407008,6.34%
94,비금융회사,롯데제과㈜,동일인측,비영리법인,,(재)롯데장학재단,365937,5.70%,0,0.00%,365937,5.70%
95,비금융회사,롯데제과㈜,동일인측,등기된임원,,민명기,300,0.00%,0,0.00%,300,0.00%
96,비금융회사,롯데제과㈜,동일인측,자기주식,,롯데제과㈜,4578,0.07%,0,0.00%,4578,0.07%
97,비금융회사,롯데제과㈜,동일인측,계열회사,,롯데지주㈜,3106984,48.42%,0,0.00%,3106984,48.42%
98,비금융회사,롯데제과㈜,동일인측,계열회사,,㈜호텔롯데,135239,2.11%,0,0.00%,135239,2.11%
99,비금융회사,롯데제과㈜,동일인측,계열회사,,롯데알미늄㈜,643381,10.03%,0,0.00%,643381,10.03%
100,비금융회사,롯데제과㈜,동일인측,해외계열,,(주)롯데홀딩스,416338,6.49%,0,0.00%,416338,6.49%
101,비금융회사,롯데제과㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,5079765,79.16%,0,0.00%,5079765,79.16%
102,비금융회사,롯데제과㈜,기타주주,기타,기타,기타,1336952,20.84%,0,0.00%,1336952,20.84%
103,비금융회사,롯데제과㈜,롯데제과㈜ 합계,롯데제과㈜ 합계,롯데제과㈜ 합계,롯데제과㈜ 합계,6416717,100.00%,0,0.00%,6416717,100.00%
104,비금융회사,롯데칠성음료㈜,동일인측,동일인,동일인,신동빈,0,0.00%,18120,2.34%,18120,0.21%
105,비금융회사,롯데칠성음료㈜,동일인측,친족,배우자/혈족1촌,신격호,104080,1.30%,109780,14.16%,213860,2.44%
106,비금융회사,롯데칠성음료㈜,동일인측,친족,혈족2~4촌,신영자,212380,2.66%,11620,1.50%,224000,2.55%
107,비금융회사,롯데칠성음료㈜,동일인측,친족,혈족2~4촌,신유미,770,0.01%,0,0.00%,770,0.01%
108,비금융회사,롯데칠성음료㈜,동일인측,친족,친족합계,친족합계,317230,3.97%,121400,15.66%,438630,5.00%
109,비금융회사,롯데칠성음료㈜,동일인측,비영리법인,,(재)롯데문화재단,0,0.00%,9200,1.19%,9200,0.10%
110,비금융회사,롯데칠성음료㈜,동일인측,비영리법인,,(재)롯데장학재단,501680,6.28%,39650,5.11%,541330,6.17%
111,비금융회사,롯데칠성음료㈜,동일인측,등기된임원,,이영구,930,0.01%,0,0.00%,930,0.01%
112,비금융회사,롯데칠성음료㈜,동일인측,자기주식,,롯데칠성음료㈜,420110,5.26%,138460,17.86%,558570,6.37%
113,비금융회사,롯데칠성음료㈜,동일인측,계열회사,,롯데지주㈜,2121660,26.54%,64890,8.37%,2186550,24.94%
114,비금융회사,롯데칠성음료㈜,동일인측,계열회사,,㈜호텔롯데,473450,5.92%,37470,4.83%,510920,5.83%
115,비금융회사,롯데칠성음료㈜,동일인측,계열회사,,롯데알미늄㈜,708870,8.87%,30500,3.93%,739370,8.43%
116,비금융회사,롯데칠성음료㈜,동일인측,해외계열,,(주)롯데홀딩스,109830,1.37%,0,0.00%,109830,1.25%
117,비금융회사,롯데칠성음료㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,4653760,58.22%,459690,59.29%,5113450,58.31%
118,비금융회사,롯데칠성음료㈜,기타주주,기타,기타,기타,3339700,41.78%,315620,40.71%,3655320,41.69%
119,비금융회사,롯데칠성음료㈜,롯데칠성음료㈜ 합계,롯데칠성음료㈜ 합계,롯데칠성음료㈜ 합계,롯데칠성음료㈜ 합계,7993460,100.00%,775310,100.00%,8768770,100.00%
120,비금융회사,롯데푸드㈜,동일인측,동일인,동일인,신동빈,22232,1.96%,0,0.00%,22232,1.96%
121,비금융회사,롯데푸드㈜,동일인측,친족,혈족2~4촌,신영자,12374,1.09%,0,0.00%,12374,1.09%
122,비금융회사,롯데푸드㈜,동일인측,친족,혈족2~4촌,신유미,3787,0.33%,0,0.00%,3787,0.33%
123,비금융회사,롯데푸드㈜,동일인측,친족,혈족5~6촌,신복남,100,0.01%,0,0.00%,100,0.01%
124,비금융회사,롯데푸드㈜,동일인측,친족,친족합계,친족합계,16261,1.44%,0,0.00%,16261,1.44%
125,비금융회사,롯데푸드㈜,동일인측,비영리법인,,(재)롯데장학재단,46417,4.10%,0,0.00%,46417,4.10%
126,비금융회사,롯데푸드㈜,동일인측,자기주식,,롯데푸드㈜,222060,19.62%,0,0.00%,222060,19.62%
127,비금융회사,롯데푸드㈜,동일인측,계열회사,,롯데지주㈜,261199,23.08%,0,0.00%,261199,23.08%
128,비금융회사,롯데푸드㈜,동일인측,계열회사,,㈜호텔롯데,100845,8.91%,0,0.00%,100845,8.91%
129,비금융회사,롯데푸드㈜,동일인측,계열회사,,㈜부산롯데호텔,49591,4.38%,0,0.00%,49591,4.38%
130,비금융회사,롯데푸드㈜,동일인측,해외계열,,L제2투자회사,49096,4.34%,0,0.00%,49096,4.34%
131,비금융회사,롯데푸드㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,767701,67.83%,0,0.00%,767701,67.83%
132,비금융회사,롯데푸드㈜,기타주주,기타,기타,기타,364169,32.17%,0,0.00%,364169,32.17%
133,비금융회사,롯데푸드㈜,롯데푸드㈜ 합계,롯데푸드㈜ 합계,롯데푸드㈜ 합계,롯데푸드㈜ 합계,1131870,100.00%,0,0.00%,1131870,100.00%
134,비금융회사,롯데네슬레코리아㈜,동일인측,계열회사,,롯데지주㈜,2639156,50.00%,0,0.00%,2639156,50.00%
135,비금융회사,롯데네슬레코리아㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,2639156,50.00%,0,0.00%,2639156,50.00%
136,비금융회사,롯데네슬레코리아㈜,기타주주,,,네슬레 에스.에이.,2639156,50.00%,0,0.00%,2639156,50.00%
137,비금융회사,롯데네슬레코리아㈜,롯데네슬레코리아㈜ 합계,롯데네슬레코리아㈜ 합계,롯데네슬레코리아㈜ 합계,롯데네슬레코리아㈜ 합계,5278312,100.00%,0,0.00%,5278312,100.00%
138,비금융회사,롯데지알에스㈜,동일인측,친족,혈족2~4촌,신영자,11,0.00%,0,0.00%,11,0.00%
139,비금융회사,롯데지알에스㈜,동일인측,친족,친족합계,친족합계,11,0.00%,0,0.00%,11,0.00%
140,비금융회사,롯데지알에스㈜,동일인측,자기주식,,롯데지알에스㈜,3,0.00%,0,0.00%,3,0.00%
141,비금융회사,롯데지알에스㈜,동일인측,계열회사,,롯데지주㈜,137267,54.44%,0,0.00%,137267,54.44%
142,비금융회사,롯데지알에스㈜,동일인측,계열회사,,㈜호텔롯데,47335,18.77%,0,0.00%,47335,18.77%
143,비금융회사,롯데지알에스㈜,동일인측,계열회사,,㈜부산롯데호텔,28464,11.29%,0,0.00%,28464,11.29%
144,비금융회사,롯데지알에스㈜,동일인측,해외계열,,L제12투자회사,39073,15.50%,0,0.00%,39073,15.50%
145,비금융회사,롯데지알에스㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,252153,100.00%,0,0.00%,252153,100.00%
146,비금융회사,롯데지알에스㈜,롯데지알에스㈜ 합계,롯데지알에스㈜ 합계,롯데지알에스㈜ 합계,롯데지알에스㈜ 합계,252153,100.00%,0,0.00%,252153,100.00%
147,비금융회사,㈜롯데아사히주류,동일인측,계열회사,,롯데칠성음료㈜,1499999,50.00%,0,0.00%,1499999,50.00%
148,비금융회사,㈜롯데아사히주류,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,1499999,50.00%,0,0.00%,1499999,50.00%
149,비금융회사,㈜롯데아사히주류,기타주주,동일인측이 아닌 최다주주,,아사히그룹홀딩스(주),1500001,50.00%,0,0.00%,1500001,50.00%
150,비금융회사,㈜롯데아사히주류,㈜롯데아사히주류 합계,㈜롯데아사히주류 합계,㈜롯데아사히주류 합계,㈜롯데아사히주류 합계,3000000,100.00%,0,0.00%,3000000,100.00%
151,비금융회사,㈜에스앤에스인터내셔날,동일인측,친족,혈족2~4촌,신영자,55000,55.00%,0,0.00%,55000,55.00%
152,비금융회사,㈜에스앤에스인터내셔날,동일인측,친족,혈족2~4촌,장혜선,15000,15.00%,0,0.00%,15000,15.00%
153,비금융회사,㈜에스앤에스인터내셔날,동일인측,친족,혈족2~4촌,장선윤,15000,15.00%,0,0.00%,15000,15.00%
154,비금융회사,㈜에스앤에스인터내셔날,동일인측,친족,혈족2~4촌,장정안,15000,15.00%,0,0.00%,15000,15.00%
155,비금융회사,㈜에스앤에스인터내셔날,동일인측,친족,친족합계,친족합계,100000,100.00%,0,0.00%,100000,100.00%
156,비금융회사,㈜에스앤에스인터내셔날,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,100000,100.00%,0,0.00%,100000,100.00%
157,비금융회사,㈜에스앤에스인터내셔날,㈜에스앤에스인터내셔날 합계,㈜에스앤에스인터내셔날 합계,㈜에스앤에스인터내셔날 합계,㈜에스앤에스인터내셔날 합계,100000,100.00%,0,0.00%,100000,100.00%
158,비금융회사,㈜충북소주,동일인측,계열회사,,롯데지주㈜,30000,100.00%,0,0.00%,30000,100.00%
159,비금융회사,㈜충북소주,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,30000,100.00%,0,0.00%,30000,100.00%
160,비금융회사,㈜충북소주,㈜충북소주 합계,㈜충북소주 합계,㈜충북소주 합계,㈜충북소주 합계,30000,100.00%,0,0.00%,30000,100.00%
161,비금융회사,농업회사법인㈜에치유아이,동일인측,계열회사,,㈜충북소주,36000,90.00%,0,0.00%,36000,90.00%
162,비금융회사,농업회사법인㈜에치유아이,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,36000,90.00%,0,0.00%,36000,90.00%
163,비금융회사,농업회사법인㈜에치유아이,기타주주,기타,기타,기타,4000,10.00%,0,0.00%,4000,10.00%
164,비금융회사,농업회사법인㈜에치유아이,농업회사법인㈜에치유아이 합계,농업회사법인㈜에치유아이 합계,농업회사법인㈜에치유아이 합계,농업회사법인㈜에치유아이 합계,40000,100.00%,0,0.00%,40000,100.00%
165,비금융회사,엠제이에이와인㈜,동일인측,계열회사,,롯데지주㈜,130000,100.00%,0,0.00%,130000,100.00%
166,비금융회사,엠제이에이와인㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,130000,100.00%,0,0.00%,130000,100.00%
167,비금융회사,엠제이에이와인㈜,엠제이에이와인㈜ 합계,엠제이에이와인㈜ 합계,엠제이에이와인㈜ 합계,엠제이에이와인㈜ 합계,130000,100.00%,0,0.00%,130000,100.00%
168,비금융회사,씨에이치음료㈜,동일인측,계열회사,,롯데지주㈜,30660,100.00%,0,0.00%,30660,100.00%
169,비금융회사,씨에이치음료㈜,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,30660,100.00%,0,0.00%,30660,100.00%
170,비금융회사,씨에이치음료㈜,씨에이치음료㈜ 합계,씨에이치음료㈜ 합계,씨에이치음료㈜ 합계,씨에이치음료㈜ 합계,30660,100.00%,0,0.00%,30660,100.00%
171,비금융회사,㈜백학음료,동일인측,계열회사,,롯데지주㈜,7382400,86.06%,0,0.00%,7382400,86.06%
172,비금융회사,㈜백학음료,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,7382400,86.06%,0,0.00%,7382400,86.06%
173,비금융회사,㈜백학음료,기타주주,기타,기타,기타,1195600,13.94%,0,0.00%,1195600,13.94%
