,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,(주)세아홀딩스,동일인측,동일인,동일인,이순형,346241,8.66,-,-,346241,8.66
1,비금융회사,(주)세아홀딩스,동일인측,친족,배우자/혈족1촌,김혜영,62082,1.55,-,-,62082,1.55
2,비금융회사,(주)세아홀딩스,동일인측,친족,배우자/혈족1촌,이주성,717953,17.95,-,-,717953,17.95
3,비금융회사,(주)세아홀딩스,동일인측,친족,배우자/혈족1촌,이주현,36971,0.92,-,-,36971,0.92
4,비금융회사,(주)세아홀딩스,동일인측,친족,혈족2~4촌,이보형,10000,0.25,-,-,10000,0.25
5,비금융회사,(주)세아홀딩스,동일인측,친족,혈족2~4촌,LEE ALEXIS JENNIFER ES,7363,0.18,-,-,7363,0.18
6,비금융회사,(주)세아홀딩스,동일인측,친족,혈족2~4촌,이지성,9575,0.24,-,-,9575,0.24
7,비금융회사,(주)세아홀딩스,동일인측,친족,혈족2~4촌,이태성,1404870,35.12,-,-,1404870,35.12
8,비금융회사,(주)세아홀딩스,동일인측,친족,혈족2~4촌,이기혁,1139,0.03,-,-,1139,0.03
9,비금융회사,(주)세아홀딩스,동일인측,친족,혈족2~4촌,이기철,1500,0.04,-,-,1500,0.04
10,비금융회사,(주)세아홀딩스,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
11,비금융회사,(주)세아홀딩스,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
12,비금융회사,(주)세아홀딩스,동일인측,친족,인척 4촌 이내,박의숙,425872,10.65,-,-,425872,10.65
13,비금융회사,(주)세아홀딩스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
14,비금융회사,(주)세아홀딩스,동일인측,친족,친족 합계,/,2677325,66.93,-,-,2677325,66.93
15,비금융회사,(주)세아홀딩스,동일인측,비영리법인,비영리법인,(재)세아해암학술장학재단,74444,1.86,-,-,74444,1.86
16,비금융회사,(주)세아홀딩스,동일인측,비영리법인,비영리법인,(재)세아이운형문화재단,125556,3.14,-,-,125556,3.14
17,비금융회사,(주)세아홀딩스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
18,비금융회사,(주)세아홀딩스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
19,비금융회사,(주)세아홀딩스,동일인측,자기주식,자기주식,(주)세아홀딩스,4050,0.10,-,-,4050,0.10
20,비금융회사,(주)세아홀딩스,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)에이팩인베스터스,259,0.01,-,-,259,0.01
21,비금융회사,(주)세아홀딩스,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)에이치피피,375231,9.38,,,375231,9.38
22,비금융회사,(주)세아홀딩스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
23,비금융회사,(주)세아홀딩스,동일인측,동일인측 합계,동일인측 합계,/,3603106,90.08,-,-,3603106,90.08
24,비금융회사,(주)세아홀딩스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
