,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,(주)아모레퍼시픽그룹,동일인측,동일인,동일인,서경배,44443620,53.90,1042240,16.17,45485860,51.16
1,비금융회사,(주)아모레퍼시픽그룹,동일인측,친족,배우자/혈족1촌,서민정,2412710,2.93,-,-,2412710,2.71
2,비금융회사,(주)아모레퍼시픽그룹,동일인측,친족,혈족2~4촌,서송숙,101140,0.12,-,-,101140,0.11
3,비금융회사,(주)아모레퍼시픽그룹,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
4,비금융회사,(주)아모레퍼시픽그룹,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
5,비금융회사,(주)아모레퍼시픽그룹,동일인측,친족,친족 합계,/,2513850,3.05,-,-,2513850,2.83
6,비금융회사,(주)아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,아모레퍼시픽재단,425810,0.52,42430,0.66,468240,0.53
7,비금융회사,(주)아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,아모레퍼시픽복지재단,1415510,1.72,20490,0.32,1436000,1.62
8,비금융회사,(주)아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,성환복지기금,2287840,2.77,51900,0.81,2339740,2.63
9,비금융회사,(주)아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,서경배과학재단,-,-,92085,1.43,92085,0.10
10,비금융회사,(주)아모레퍼시픽그룹,동일인측,등기된 임원,등기된 임원,임중식,269,0.00,1010,0.02,1279,0.00
11,비금융회사,(주)아모레퍼시픽그룹,동일인측,등기된 임원,등기된 임원,김영목,580,0.00,-,-,580,0.00
12,비금융회사,(주)아모레퍼시픽그룹,동일인측,자기주식,자기주식,(주)아모레퍼시픽그룹,5549735,6.73,62455,0.97,5612190,6.31
13,비금융회사,(주)아모레퍼시픽그룹,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
14,비금융회사,(주)아모레퍼시픽그룹,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
15,비금융회사,(주)아모레퍼시픽그룹,동일인측,동일인측 합계,동일인측 합계,/,56637214,68.69,1312610,20.37,57949824,65.18
16,비금융회사,(주)아모레퍼시픽그룹,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
17,비금융회사,(주)아모레퍼시픽그룹,기타주주,기타,기타,/,25820966,31.31,5131160,79.63,30952126,34.82
18,비금융회사,(주)아모레퍼시픽그룹,총 계,총 계,총 계,/,82458180,100%,6443770,100%,88901950,100%
19,비금융회사,(주)아모레퍼시픽,동일인측,동일인,동일인,서경배,6264450,10.72,-,-,6264450,9.08
20,비금융회사,(주)아모레퍼시픽,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
21,비금융회사,(주)아모레퍼시픽,동일인측,친족,혈족2~4촌,서송숙,146000,0.25,-,-,146000,0.21
22,비금융회사,(주)아모레퍼시픽,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
23,비금융회사,(주)아모레퍼시픽,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
24,비금융회사,(주)아모레퍼시픽,동일인측,친족,친족 합계,/,146000,0.25,-,-,146000,0.21
25,비금융회사,(주)아모레퍼시픽,동일인측,비영리법인,비영리법인,아모레퍼시픽재단,697670,1.19,69530,0.66,767200,1.11
26,비금융회사,(주)아모레퍼시픽,동일인측,등기된 임원,등기된 임원,,-,-,-,-,-,-
27,비금융회사,(주)아모레퍼시픽,동일인측,자기주식,자기주식,(주)아모레퍼시픽,33041,0.06,6214,0.06,39255,0.06
28,비금융회사,(주)아모레퍼시픽,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,20695860,35.40,1511030,14.31,22206890,32.18
29,비금융회사,(주)아모레퍼시픽,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
30,비금융회사,(주)아모레퍼시픽,동일인측,⑨ 동일인측 합계,⑨ 동일인측 합계,/,27837021,47.62,1586774,15.03,29423795,42.63
31,비금융회사,(주)아모레퍼시픽,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
32,비금융회사,(주)아모레퍼시픽,기타주주,기타,기타,/,30621469,52.38,8971056,84.97,39592525,57.37
33,비금융회사,(주)아모레퍼시픽,총 계,총 계,총 계,/,58458490,100%,10557830,100%,69016320,100%
34,비금융회사,(주)이니스프리,동일인측,동일인,동일인,-,-,-,-,-,-,-
35,비금융회사,(주)이니스프리,동일인측,친족,배우자/혈족1촌,서민정,44450,18.18,-,-,44450,18.18
36,비금융회사,(주)이니스프리,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
37,비금융회사,(주)이니스프리,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
38,비금융회사,(주)이니스프리,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
39,비금융회사,(주)이니스프리,동일인측,친족,친족 합계,/,44450,18.18,-,-,44450,18.18
40,비금융회사,(주)이니스프리,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
41,비금융회사,(주)이니스프리,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
42,비금융회사,(주)이니스프리,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
43,비금융회사,(주)이니스프리,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,200000,81.82,-,-,200000,81.82
44,비금융회사,(주)이니스프리,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
45,비금융회사,(주)이니스프리,동일인측,동일인측 합계,동일인측 합계,/,244450,100.00,-,-,244450,100.00
46,비금융회사,(주)이니스프리,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
47,비금융회사,(주)이니스프리,기타주주,기타,기타,-,-,-,-,-,-,-
48,비금융회사,(주)이니스프리,총 계,총 계,총 계,/,244450,100%,-,-,244450,100%
49,비금융회사,(주)에뛰드,동일인측,동일인,동일인,-,-,-,-,-,-,-
50,비금융회사,(주)에뛰드,동일인측,친족,배우자/혈족1촌,서민정,141791,19.52,-,-,141791,19.52
51,비금융회사,(주)에뛰드,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
52,비금융회사,(주)에뛰드,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
53,비금융회사,(주)에뛰드,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
54,비금융회사,(주)에뛰드,동일인측,친족,친족 합계,/,141791,19.52,-,-,141791,19.52
55,비금융회사,(주)에뛰드,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
56,비금융회사,(주)에뛰드,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
57,비금융회사,(주)에뛰드,동일인측,자기주식,자기주식,(주)에뛰드,1,0.00,-,-,1,0.00
58,비금융회사,(주)에뛰드,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,584424,80.48,-,-,584424,80.48
59,비금융회사,(주)에뛰드,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
60,비금융회사,(주)에뛰드,동일인측,동일인측 합계,동일인측 합계,/,726216,100.00,-,-,726216,100.00
61,비금융회사,(주)에뛰드,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
62,비금융회사,(주)에뛰드,기타주주,기타,기타,-,-,-,-,-,-,-
63,비금융회사,(주)에뛰드,총 계,총 계,총 계,/,726216,100%,-,-,726216,100%
64,비금융회사,(주)아모스프로페셔널,동일인측,동일인,동일인,-,-,-,-,-,-,-
65,비금융회사,(주)아모스프로페셔널,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
66,비금융회사,(주)아모스프로페셔널,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
67,비금융회사,(주)아모스프로페셔널,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
68,비금융회사,(주)아모스프로페셔널,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
69,비금융회사,(주)아모스프로페셔널,동일인측,친족,친족 합계,-,-,-,-,-,-,-
70,비금융회사,(주)아모스프로페셔널,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
71,비금융회사,(주)아모스프로페셔널,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
72,비금융회사,(주)아모스프로페셔널,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
73,비금융회사,(주)아모스프로페셔널,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,700000,100.00,-,-,700000,100.00
74,비금융회사,(주)아모스프로페셔널,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
75,비금융회사,(주)아모스프로페셔널,동일인측,동일인측 합계,동일인측 합계,/,700000,100.00,-,-,700000,100.00
76,비금융회사,(주)아모스프로페셔널,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
77,비금융회사,(주)아모스프로페셔널,기타주주,기타,기타,-,-,-,-,-,-,-
78,비금융회사,(주)아모스프로페셔널,총 계,총 계,총 계,/,700000,100%,-,-,700000,100%
79,비금융회사,(주)에스쁘아,동일인측,동일인,동일인,-,-,-,-,-,-,-
80,비금융회사,(주)에스쁘아,동일인측,친족,배우자/혈족1촌,서민정,39788,19.52,-,-,39788,19.52
81,비금융회사,(주)에스쁘아,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
82,비금융회사,(주)에스쁘아,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
83,비금융회사,(주)에스쁘아,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
84,비금융회사,(주)에스쁘아,동일인측,친족,친족 합계,서민정,39788,19.52,-,-,39788,19.52
85,비금융회사,(주)에스쁘아,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
86,비금융회사,(주)에스쁘아,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
87,비금융회사,(주)에스쁘아,동일인측,자기주식,자기주식,(주)에스쁘아,1,0.00,-,-,1,0.00
88,비금융회사,(주)에스쁘아,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,163995,80.48,-,-,163995,80.48
89,비금융회사,(주)에스쁘아,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
90,비금융회사,(주)에스쁘아,동일인측,동일인측 합계,동일인측 합계,/,203784,100.00,-,-,203784,100.00
91,비금융회사,(주)에스쁘아,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
92,비금융회사,(주)에스쁘아,기타주주,기타,기타,-,-,-,-,-,-,-
93,비금융회사,(주)에스쁘아,총 계,총 계,총 계,/,203784,100%,-,-,203784,100%
94,비금융회사,(주)에스트라,동일인측,동일인,동일인,-,-,-,-,-,-,-
95,비금융회사,(주)에스트라,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
96,비금융회사,(주)에스트라,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
97,비금융회사,(주)에스트라,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
98,비금융회사,(주)에스트라,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
99,비금융회사,(주)에스트라,동일인측,친족,친족 합계,-,-,-,-,-,-,-
100,비금융회사,(주)에스트라,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
101,비금융회사,(주)에스트라,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
102,비금융회사,(주)에스트라,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
103,비금융회사,(주)에스트라,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,2108947,100.00,220000,100.00,2328947,100.00
104,비금융회사,(주)에스트라,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
105,비금융회사,(주)에스트라,동일인측,동일인측 합계,동일인측 합계,/,2108947,100.00,220000,100.00,2328947,100.00
106,비금융회사,(주)에스트라,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
107,비금융회사,(주)에스트라,기타주주,기타,기타,-,-,-,-,-,-,-
108,비금융회사,(주)에스트라,총 계,총 계,총 계,/,2108947,100%,220000,100%,2328947,100%
109,비금융회사,(주)퍼시픽글라스,동일인측,동일인,동일인,-,-,-,-,-,-,-
110,비금융회사,(주)퍼시픽글라스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
111,비금융회사,(주)퍼시픽글라스,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
112,비금융회사,(주)퍼시픽글라스,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
113,비금융회사,(주)퍼시픽글라스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
114,비금융회사,(주)퍼시픽글라스,동일인측,친족,친족 합계,-,-,-,-,-,-,-
115,비금융회사,(주)퍼시픽글라스,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
116,비금융회사,(주)퍼시픽글라스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
117,비금융회사,(주)퍼시픽글라스,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
118,비금융회사,(주)퍼시픽글라스,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,1000000,100.00,-,-,1000000,100.00
119,비금융회사,(주)퍼시픽글라스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
120,비금융회사,(주)퍼시픽글라스,동일인측,동일인측 합계,동일인측 합계,/,1000000,100.00,-,-,1000000,100.00
121,비금융회사,(주)퍼시픽글라스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
122,비금융회사,(주)퍼시픽글라스,기타주주,기타,기타,-,-,-,-,-,-,-
123,비금융회사,(주)퍼시픽글라스,총 계,총 계,총 계,/,1000000,100%,-,-,1000000,100%
124,비금융회사,(주)퍼시픽패키지,동일인측,동일인,동일인,-,-,-,-,-,-,-
125,비금융회사,(주)퍼시픽패키지,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
126,비금융회사,(주)퍼시픽패키지,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
127,비금융회사,(주)퍼시픽패키지,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
128,비금융회사,(주)퍼시픽패키지,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
129,비금융회사,(주)퍼시픽패키지,동일인측,친족,친족 합계,-,-,-,-,-,-,-
130,비금융회사,(주)퍼시픽패키지,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
131,비금융회사,(주)퍼시픽패키지,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
132,비금융회사,(주)퍼시픽패키지,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
133,비금융회사,(주)퍼시픽패키지,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)아모레퍼시픽그룹,2301084,100.00,-,-,2301084,100.00
134,비금융회사,(주)퍼시픽패키지,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
