,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,금융회사,아이엠엠인베스트먼트㈜,동일인측,동일인,동일인,지성배,-,-,-,-,-,-
1,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
3,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,혈족2~4촌,정구용,136461,3.66%,-,-,136461,3.66%
4,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
5,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
6,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
7,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
8,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
9,금융회사,아이엠엠인베스트먼트㈜,동일인측,친족,친족 합계,/,136461,3.66%,-,-,136461,3.66%
10,금융회사,아이엠엠인베스트먼트㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
11,금융회사,아이엠엠인베스트먼트㈜,동일인측,등기된 임원,등기된 임원,변재철,27548,0.74%,-,-,27548,0.74%
12,금융회사,아이엠엠인베스트먼트㈜,동일인측,등기된 임원,등기된 임원,조익진,10916,0.29%,-,-,10916,0.29%
13,금융회사,아이엠엠인베스트먼트㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
14,금융회사,아이엠엠인베스트먼트㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),(유)아이엠엠,2952886,79.17%,-,-,2952886,79.17%
15,금융회사,아이엠엠인베스트먼트㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),H.C.CHO Investment Ltd.,27549,0.74%,-,-,27549,0.74%
16,금융회사,아이엠엠인베스트먼트㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
17,금융회사,아이엠엠인베스트먼트㈜,동일인측,동일인측 합계,동일인측 합계,/,3155360,84.59%,-,-,3155360,84.59%
18,금융회사,아이엠엠인베스트먼트㈜,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
19,금융회사,아이엠엠인베스트먼트㈜,기타주주,기타,기타,-,574640,15.41%,-,-,574640,15.41%
20,금융회사,아이엠엠인베스트먼트㈜,총 계,총 계,총 계,/,3730000,100.00%,-,-,3730000,100.00%
21,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,동일인,동일인,-,-,-,-,-,-,-
22,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
23,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
24,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
25,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
26,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
27,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
28,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
29,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
30,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,친족,친족 합계,-,-,-,-,-,-,-
31,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
32,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
33,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
34,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
35,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),아이엠엠인베스트먼트㈜,3495000000,3.85%,-,-,3495000000,3.85%
36,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
37,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
38,금융회사,아이엠엠글로벌 사모투자합자회사,동일인측,동일인측 합계,동일인측 합계,/,3495000000,3.85%,-,-,3495000000,3.85%
39,금융회사,아이엠엠글로벌 사모투자합자회사,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,미래에셋대우㈜,29125000000,32.05%,-,-,29125000000,32.05%
