,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,(주)엔엑스씨,동일인측,동일인,동일인,김정주,1963000,67.49%,-,-,1963000,67.49%
1,비금융회사,(주)엔엑스씨,동일인측,친족,배우자/혈족1촌,유정현,856000,29.43%,-,-,856000,29.43%
2,비금융회사,(주)엔엑스씨,동일인측,친족,배우자/혈족1촌,김정민,19750,0.68%,-,-,19750,0.68%
3,비금융회사,(주)엔엑스씨,동일인측,친족,배우자/혈족1촌,김정윤,19750,0.68%,-,-,19750,0.68%
4,비금융회사,(주)엔엑스씨,동일인측,친족,친족 합계,/,2858500,98.28%,-,-,2858500,98.28%
5,비금융회사,(주)엔엑스씨,동일인측,계열회사,계열회사,(유)와이즈키즈,50000,1.72%,-,-,50000,1.72%
6,비금융회사,(주)엔엑스씨,동일인측,동일인측 합계,동일인측 합계,/,2908500,100.00%,-,-,2908500,100.00%
7,비금융회사,(주)엔엑스씨,총 계,총 계,총 계,/,2908500,100.00%,-,-,2908500,100.00%
8,비금융회사,(주)엔엑스씨엘,동일인측,계열회사,계열회사,(주)엔엑스씨,40000,100.00%,-,-,40000,100.00%
9,비금융회사,(주)엔엑스씨엘,동일인측,동일인측 합계,동일인측 합계,/,40000,100.00%,-,-,40000,100.00%
10,비금융회사,(주)엔엑스씨엘,총 계,총 계,총 계,/,40000,100.00%,-,-,40000,100.00%
11,비금융회사,(유)소호브릭스,동일인측,계열회사,계열회사,(주)엔엑스씨,21000,100.00%,-,-,21000,100.00%
12,비금융회사,(유)소호브릭스,동일인측,동일인측 합계,동일인측 합계,/,21000,100.00%,-,-,21000,100.00%
13,비금융회사,(유)소호브릭스,총 계,총 계,총 계,/,21000,100.00%,-,-,21000,100.00%
14,비금융회사,스토케코리아(유),동일 인측,계열회사,계열회사,STOKKE AS,1250,100.00%,-,-,1250,100.00%
15,비금융회사,스토케코리아(유),동일 인측,동일인측 합계,동일인측 합계,/,1250,100.00%,-,-,1250,100.00%
