,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,유진기업(주),동일인측,동일인,동일인,유경선,8919594,11.54,-,-,8919594,11.54
1,비금융회사,유진기업(주),동일인측,친족,배우자/혈족1촌,유재필,1919916,2.48,-,-,1919916,2.48
2,비금융회사,유진기업(주),동일인측,친족,배우자/혈족1촌,유석훈,2365259,3.06,-,-,2365259,3.06
3,비금융회사,유진기업(주),동일인측,친족,배우자/혈족1촌,구금숙,1839456,2.38,-,-,1839456,2.38
4,비금융회사,유진기업(주),동일인측,친족,배우자/혈족1촌,유정윤,120152,0.16,-,-,120152,0.16
5,비금융회사,유진기업(주),동일인측,친족,배우자/혈족1촌,유정민,123246,0.16,-,-,123246,0.16
6,비금융회사,유진기업(주),동일인측,친족,혈족2~4촌,유창수,5295857,6.85,-,-,5295857,6.85
7,비금융회사,유진기업(주),동일인측,친족,혈족2~4촌,유순태,3389412,4.38,-,-,3389412,4.38
8,비금융회사,유진기업(주),동일인측,친족,혈족2~4촌,유승연,4370,0.01,-,-,4370,0.01
9,비금융회사,유진기업(주),동일인측,친족,혈족2~4촌,유정연,4420,0.01,-,-,4420,0.01
10,비금융회사,유진기업(주),동일인측,친족,혈족2~4촌,유동진,222400,0.29,-,-,222400,0.29
11,비금융회사,유진기업(주),동일인측,친족,혈족2~4촌,유호성,217157,0.28,-,-,217157,0.28
12,비금융회사,유진기업(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
13,비금융회사,유진기업(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
14,비금융회사,유진기업(주),동일인측,친족,인척 4촌 이내,노시은,210000,0.27,-,-,210000,0.27
15,비금융회사,유진기업(주),동일인측,친족,인척 4촌 이내,이정화,205000,0.27,-,-,205000,0.27
16,비금융회사,유진기업(주),동일인측,친족,친족 합계,/,15916645,20.59,-,-,15916645,20.59
17,비금융회사,유진기업(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
18,비금융회사,유진기업(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
19,비금융회사,유진기업(주),동일인측,등기된 임원,등기된 임원,최종성,32654,0.04,-,-,32654,0.04
20,비금융회사,유진기업(주),동일인측,등기된 임원,등기된 임원,오영석,10713,0.01,-,-,10713,0.01
21,비금융회사,유진기업(주),동일인측,자기주식,자기주식,유진기업(주),4068339,5.26,-,-,4068339,5.26
22,비금융회사,유진기업(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),남부산업㈜,3555140,4.60,-,-,3555140,4.60
23,비금융회사,유진기업(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),이순산업㈜,1526069,1.97,-,-,1526069,1.97
24,비금융회사,유진기업(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
25,비금융회사,유진기업(주),동일인측,동일인측 합계,동일인측 합계,/,34029154,44.02,-,-,34029154,44.02
26,비금융회사,유진기업(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
27,비금융회사,유진기업(주),기타주주,기타,기타,/,43281709,55.98,-,-,43281709,55.98
28,비금융회사,유진기업(주),총 계,총 계,총 계,/,77310863,100.00,-,-,77310863,100.00
29,비금융회사,(주)나눔로또,동일인측,동일인,동일인,-,-,-,-,-,-,-
30,비금융회사,(주)나눔로또,동일인측,친족,배우자/혈족1촌,,,,,,,
31,비금융회사,(주)나눔로또,동일인측,친족,배우자/혈족1촌,,,,,,,
32,비금융회사,(주)나눔로또,동일인측,친족,혈족2~4촌,,,,,,,
33,비금융회사,(주)나눔로또,동일인측,친족,혈족2~4촌,,,,,,,
34,비금융회사,(주)나눔로또,동일인측,친족,혈족5~6촌,,,,,,,
35,비금융회사,(주)나눔로또,동일인측,친족,혈족5~6촌,,,,,,,
36,비금융회사,(주)나눔로또,동일인측,친족,인척 4촌 이내,,,,,,,
37,비금융회사,(주)나눔로또,동일인측,친족,인척 4촌 이내,,,,,,,
38,비금융회사,(주)나눔로또,동일인측,친족,친족 합계,/,-,-,-,-,-,-
39,비금융회사,(주)나눔로또,동일인측,비영리법인,비영리법인,,,,,,,
40,비금융회사,(주)나눔로또,동일인측,비영리법인,비영리법인,,,,,,,
41,비금융회사,(주)나눔로또,동일인측,등기된 임원,등기된 임원,,,,,,,
42,비금융회사,(주)나눔로또,동일인측,등기된 임원,등기된 임원,,,,,,,
43,비금융회사,(주)나눔로또,동일인측,자기주식,자기주식,(주)나눔로또,240000,27.64,,,240000,27.64
44,비금융회사,(주)나눔로또,동일인측,계열회사(국내+해외),계열회사(국내+해외),유진기업㈜,626242,72.13,,,626242,72.13
45,비금융회사,(주)나눔로또,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,
46,비금융회사,(주)나눔로또,동일인측,동일인측 합계,동일인측 합계,/,866242,99.77,,,866242,99.77
47,비금융회사,(주)나눔로또,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,
48,비금융회사,(주)나눔로또,기타주주,기타,기타,/,2000,0.23,,,2000,0.23
49,비금융회사,(주)나눔로또,총 계,총 계,총 계,/,868242,100.00,,,868242,100.00
50,비금융회사,(주)동양,동일인측,동일인,동일인,-,-,-,-,-,-,-
51,비금융회사,(주)동양,동일인측,친족,배우자/혈족1촌,,,,,,,
52,비금융회사,(주)동양,동일인측,친족,배우자/혈족1촌,,,,,,,
53,비금융회사,(주)동양,동일인측,친족,혈족2~4촌,,,,,,,
54,비금융회사,(주)동양,동일인측,친족,혈족2~4촌,,,,,,,
55,비금융회사,(주)동양,동일인측,친족,혈족5~6촌,,,,,,,
56,비금융회사,(주)동양,동일인측,친족,혈족5~6촌,,,,,,,
57,비금융회사,(주)동양,동일인측,친족,인척 4촌 이내,,,,,,,
58,비금융회사,(주)동양,동일인측,친족,인척 4촌 이내,,,,,,,
59,비금융회사,(주)동양,동일인측,친족,친족 합계,/,-,-,-,-,-,-
60,비금융회사,(주)동양,동일인측,비영리법인,비영리법인,,,,,,,
61,비금융회사,(주)동양,동일인측,비영리법인,비영리법인,,,,,,,
62,비금융회사,(주)동양,동일인측,등기된 임원,등기된 임원,정진학,50000,0.02,-,-,50000,0.02
63,비금융회사,(주)동양,동일인측,자기주식,자기주식,(주)동양,35926414,15.05,171981,16.76%,36098395,15.05
64,비금융회사,(주)동양,동일인측,계열회사(국내+해외),계열회사(국내+해외),유진기업(주),56768592,23.78,,,56768592,23.78
65,비금융회사,(주)동양,동일인측,계열회사(국내+해외),계열회사(국내+해외),유진투자증권(주),11438000,4.79,,,11438000,4.79
66,비금융회사,(주)동양,동일인측,계열회사(국내+해외),계열회사(국내+해외),현대개발(주),3469117,1.45,,,3469117,1.45
67,비금융회사,(주)동양,동일인측,기타 동일인관련자,기타 동일인관련자,,-,-,-,-,-,-
68,비금융회사,(주)동양,동일인측,동일인측 합계,동일인측 합계,/,107652123,45.10,171981,16.76%,107824104,45.10
69,비금융회사,(주)동양,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,-,-,-,-,-,-
70,비금융회사,(주)동양,기타주주,기타,기타,/,131031940,54.90,854455,83.24%,131886395,54.90
71,비금융회사,(주)동양,총 계,총 계,총 계,/,238684063,100.00,1026436,100.00%,239710499,100.00
72,비금융회사,(주)동양에너지,동일인측,동일인,동일인,-,-,-,-,-,-,-
73,비금융회사,(주)동양에너지,동일인측,친족,배우자/혈족1촌,,,,,,,
74,비금융회사,(주)동양에너지,동일인측,친족,배우자/혈족1촌,,,,,,,
75,비금융회사,(주)동양에너지,동일인측,친족,혈족2~4촌,,,,,,,
76,비금융회사,(주)동양에너지,동일인측,친족,혈족2~4촌,,,,,,,
77,비금융회사,(주)동양에너지,동일인측,친족,혈족5~6촌,,,,,,,
78,비금융회사,(주)동양에너지,동일인측,친족,혈족5~6촌,,,,,,,
79,비금융회사,(주)동양에너지,동일인측,친족,인척 4촌 이내,,,,,,,
80,비금융회사,(주)동양에너지,동일인측,친족,인척 4촌 이내,,,,,,,
81,비금융회사,(주)동양에너지,동일인측,친족,친족 합계,/,-,-,-,-,-,-
82,비금융회사,(주)동양에너지,동일인측,비영리법인,비영리법인,,,,,,,
83,비금융회사,(주)동양에너지,동일인측,비영리법인,비영리법인,,,,,,,
84,비금융회사,(주)동양에너지,동일인측,등기된 임원,등기된 임원,,,,,,,
85,비금융회사,(주)동양에너지,동일인측,등기된 임원,등기된 임원,,,,,,,
86,비금융회사,(주)동양에너지,동일인측,등기된 임원,등기된 임원,,,,,,,
87,비금융회사,(주)동양에너지,동일인측,자기주식,자기주식,,,,,,,
88,비금융회사,(주)동양에너지,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)동양,20000,100.00,-,-,20000,100.00
89,비금융회사,(주)동양에너지,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,
90,비금융회사,(주)동양에너지,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,
91,비금융회사,(주)동양에너지,동일인측,동일인측 합계,동일인측 합계,/,20000,100.00,-,-,20000,100.00
92,비금융회사,(주)동양에너지,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,
93,비금융회사,(주)동양에너지,기타주주,기타,기타,/,,,,,,
94,비금융회사,(주)동양에너지,총 계,총 계,총 계,/,20000,100.00,-,-,20000,100.00
95,비금융회사,(주)비에이엠시스템,동일인측,동일인,동일인,-,-,-,-,-,-,-
96,비금융회사,(주)비에이엠시스템,동일인측,친족,배우자/혈족1촌,,,,,,,
97,비금융회사,(주)비에이엠시스템,동일인측,친족,배우자/혈족1촌,,,,,,,
98,비금융회사,(주)비에이엠시스템,동일인측,친족,혈족2~4촌,,,,,,,
99,비금융회사,(주)비에이엠시스템,동일인측,친족,혈족2~4촌,,,,,,,
100,비금융회사,(주)비에이엠시스템,동일인측,친족,혈족5~6촌,,,,,,,
101,비금융회사,(주)비에이엠시스템,동일인측,친족,혈족5~6촌,,,,,,,
102,비금융회사,(주)비에이엠시스템,동일인측,친족,인척 4촌 이내,,,,,,,
103,비금융회사,(주)비에이엠시스템,동일인측,친족,인척 4촌 이내,,,,,,,
104,비금융회사,(주)비에이엠시스템,동일인측,친족,친족 합계,/,-,-,-,-,-,-
105,비금융회사,(주)비에이엠시스템,동일인측,비영리법인,비영리법인,,,,,,,
