,계열회사명,계열회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,계열회사명,계열회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,(주)이랜드월드,동일인측,동일인,동일인,박성수,1919027,40.67%,-,-,1919027,40.67%
1,비금융회사,(주)이랜드월드,동일인측,친족,배우자/혈족1촌,곽숙재,380405,8.06%,-,-,380405,8.06%
2,비금융회사,(주)이랜드월드,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
3,비금융회사,(주)이랜드월드,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
4,비금융회사,(주)이랜드월드,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
5,비금융회사,(주)이랜드월드,동일인측,친족합계,친족합계,-,380405,8.06%,-,-,380405,8.06%
6,비금융회사,(주)이랜드월드,동일인측,비영리법인,비영리법인,이랜드복지재단,269134,5.70%,-,-,269134,5.70%
7,비금융회사,(주)이랜드월드,동일인측,비영리법인,비영리법인,이랜드재단,24835,0.53%,-,-,24835,0.53%
8,비금융회사,(주)이랜드월드,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
9,비금융회사,(주)이랜드월드,동일인측,자기주식,자기주식,㈜이랜드월드,2112103,44.76%,-,-,2112103,44.76%
10,비금융회사,(주)이랜드월드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,-,-
11,비금융회사,(주)이랜드월드,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
12,비금융회사,(주)이랜드월드,동일인측,동일인측 합계,동일인측 합계,-,4705504,99.72%,-,-,4705504,99.72%
13,비금융회사,(주)이랜드월드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
14,비금융회사,(주)이랜드월드,기타주주,기타,기타,-,13429,0.28%,-,-,13429,0.28%
15,비금융회사,(주)이랜드월드,총계,총계,총계,-,4718933,100.00%,-,-,4718933,100.00%
16,비금융회사,(주)이랜드리테일,동일인측,동일인,동일인,박성수,961,0.00%,-,-,961,0.00%
