,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,(주)카카오,동일인측,동일인,동일인,김범수,12514461,15.01,-,-,12514461,15.01
1,비금융회사,(주)카카오,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,비금융회사,(주)카카오,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
3,비금융회사,(주)카카오,동일인측,친족,혈족5~6촌,김진원,634,0.00,-,-,634,0.00
4,비금융회사,(주)카카오,동일인측,친족,인척 4촌 이내,정영재,62220,0.07,-,-,62220,0.07
5,비금융회사,(주)카카오,동일인측,친족,친족 합계,/,62854,0.07,-,-,62854,0.07
6,비금융회사,(주)카카오,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
7,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,김동완,390,0.00,-,-,390,0.00
8,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,김영석,1203,0.00,-,-,1203,0.00
9,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,김영채,420,0.00,-,-,420,0.00
10,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,김창준,200,0.00,-,-,200,0.00
11,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,김홍기,481,0.00,-,-,481,0.00
12,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,남궁훈,10165,0.01,-,-,10165,0.01
13,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,류영준,8000,0.01,-,-,8000,0.01
14,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,박승기,59990,0.07,-,-,59990,0.07
15,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,성용제,62,0.00,-,-,62,0.00
16,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,여민수,7950,0.01,-,-,7950,0.01
17,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,유강원,62,0.00,-,-,62,0.00
18,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,조민식,62220,0.07,-,-,62220,0.07
19,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,최장욱,500,0.00,-,-,500,0.00
20,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,이석영,1000,0.00,-,-,1000,0.00
21,비금융회사,(주)카카오,동일인측,등기된 임원,등기된 임원,홍은택,1500,0.00,-,-,1500,0.00
22,비금융회사,(주)카카오,동일인측,자기주식,자기주식,(주)카카오,4233492,5.08,-,-,4233492,5.08
23,비금융회사,(주)카카오,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)케이큐브홀딩스,9949467,11.93,-,-,9949467,11.93
24,비금융회사,(주)카카오,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
25,비금융회사,(주)카카오,동일인측,동일인측 합계,동일인측 합계,/,26914417,32.27,-,-,26914417,32.27
26,비금융회사,(주)카카오,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
27,비금융회사,(주)카카오,기타주주,기타,기타,/,56487456,67.73,-,-,56487456,67.73
28,비금융회사,(주)카카오,총 계,총 계,총 계,/,83401873,100.00,-,-,83401873,100.00
29,비금융회사,(주)골프앤데이타시스템,동일인측,동일인,동일인,-,-,-,-,-,-,-
30,비금융회사,(주)골프앤데이타시스템,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
31,비금융회사,(주)골프앤데이타시스템,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
32,비금융회사,(주)골프앤데이타시스템,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
33,비금융회사,(주)골프앤데이타시스템,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
34,비금융회사,(주)골프앤데이타시스템,동일인측,친족,친족 합계,/,-,-,-,-,-,-
35,비금융회사,(주)골프앤데이타시스템,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
36,비금융회사,(주)골프앤데이타시스템,동일인측,등기된 임원,등기된 임원,문태식,10000,45.00,-,-,10000,45.00
37,비금융회사,(주)골프앤데이타시스템,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
38,비금융회사,(주)골프앤데이타시스템,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
39,비금융회사,(주)골프앤데이타시스템,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
40,비금융회사,(주)골프앤데이타시스템,동일인측,동일인측 합계,동일인측 합계,/,10000,45.00,-,-,10000,45.00
41,비금융회사,(주)골프앤데이타시스템,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
42,비금융회사,(주)골프앤데이타시스템,기타주주,기타,기타,/,12222,55.00,-,-,12222,55.00
43,비금융회사,(주)골프앤데이타시스템,총 계,총 계,총 계,/,22222,100.00,-,-,22222,100.00
44,비금융회사,(주)골프와친구,동일인측,동일인,동일인,-,-,-,-,-,-,-
45,비금융회사,(주)골프와친구,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
46,비금융회사,(주)골프와친구,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
47,비금융회사,(주)골프와친구,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
48,비금융회사,(주)골프와친구,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
49,비금융회사,(주)골프와친구,동일인측,친족,친족 합계,/,-,-,-,-,-,-
50,비금융회사,(주)골프와친구,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
51,비금융회사,(주)골프와친구,동일인측,등기된 임원,등기된 임원,문태식,60000,100.00,-,-,60000,100.00
52,비금융회사,(주)골프와친구,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
53,비금융회사,(주)골프와친구,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
54,비금융회사,(주)골프와친구,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
55,비금융회사,(주)골프와친구,동일인측,동일인측 합계,동일인측 합계,/,60000,100.00,-,-,60000,100.00
56,비금융회사,(주)골프와친구,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
57,비금융회사,(주)골프와친구,기타주주,기타,기타,/,-,-,-,-,-,-
58,비금융회사,(주)골프와친구,총 계,총 계,총 계,/,60000,100.00,-,-,60000,100.00
59,비금융회사,(주)그라운드원,동일인측,동일인,동일인,-,-,-,-,-,-,-
60,비금융회사,(주)그라운드원,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
61,비금융회사,(주)그라운드원,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
62,비금융회사,(주)그라운드원,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
63,비금융회사,(주)그라운드원,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
64,비금융회사,(주)그라운드원,동일인측,친족,친족 합계,/,-,-,-,-,-,-
65,비금융회사,(주)그라운드원,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
66,비금융회사,(주)그라운드원,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
67,비금융회사,(주)그라운드원,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
68,비금융회사,(주)그라운드원,동일인측,계열회사(국내+해외),계열회사(국내+해외),Ground X Corp.,10000000,100.00,-,-,10000000,100.00
69,비금융회사,(주)그라운드원,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
70,비금융회사,(주)그라운드원,동일인측,동일인측 합계,동일인측 합계,/,10000000,100.00,-,-,10000000,100.00
71,비금융회사,(주)그라운드원,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
72,비금융회사,(주)그라운드원,기타주주,기타,기타,/,-,-,-,-,-,-
73,비금융회사,(주)그라운드원,총 계,총 계,총 계,/,10000000,100.00,-,-,10000000,100.00
74,비금융회사,(주)나일론코리아미디어,동일인측,동일인,동일인,-,-,-,-,-,-,-
75,비금융회사,(주)나일론코리아미디어,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
76,비금융회사,(주)나일론코리아미디어,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
77,비금융회사,(주)나일론코리아미디어,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
78,비금융회사,(주)나일론코리아미디어,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
79,비금융회사,(주)나일론코리아미디어,동일인측,친족,친족 합계,/,-,-,-,-,-,-
80,비금융회사,(주)나일론코리아미디어,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
