,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,금융회사,키움증권(주),동일인측,동일인,동일인,-,-,-,-,-,-,-
1,금융회사,키움증권(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,금융회사,키움증권(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
3,금융회사,키움증권(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
4,금융회사,키움증권(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
5,금융회사,키움증권(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
6,금융회사,키움증권(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
7,금융회사,키움증권(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
8,금융회사,키움증권(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
9,금융회사,키움증권(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
10,금융회사,키움증권(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
11,금융회사,키움증권(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
12,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,윤수영,6048,0.03%,-,-,6048,0.02%
13,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,임경호,400,0.00%,-,-,400,0.00%
14,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,최창민,875,0.00%,-,-,875,0.00%
15,금융회사,키움증권(주),동일인측,자기주식,자기주식,-,-,-,-,-,-,-
16,금융회사,키움증권(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),㈜다우기술,10542003,47.70%,-,-,10542003,41.52%
17,금융회사,키움증권(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
18,금융회사,키움증권(주),동일인측,동일인측 합계,동일인측 합계,/,10549326,47.74%,-,-,10549326,41.54%
19,금융회사,키움증권(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
20,금융회사,키움증권(주),기타주주,기타,기타,-,11550414,52.26%,3293173,100.00%,14843587,58.46%
21,금융회사,키움증권(주),총 계,총 계,총 계,/,22099740,100.00%,3293173,100.00%,25392913,100.00%
22,금융회사,(주)인스엠앤알,동일인측,동일인,동일인,-,-,-,-,-,-,-
23,금융회사,(주)인스엠앤알,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
24,금융회사,(주)인스엠앤알,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
