,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,금융회사,키움증권(주),동일인측,동일인,동일인,-,-,-,-,-,-,-
1,금융회사,키움증권(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,금융회사,키움증권(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
3,금융회사,키움증권(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
4,금융회사,키움증권(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
5,금융회사,키움증권(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
6,금융회사,키움증권(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
7,금융회사,키움증권(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
8,금융회사,키움증권(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
9,금융회사,키움증권(주),동일인측,친족,친족 합계,/,-,-,-,-,-,-
10,금융회사,키움증권(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
11,금융회사,키움증권(주),동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
12,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,황현순,7377,0.03%,-,-,7377,0.03%
13,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,임경호,400,0.00%,-,-,400,0.00%
14,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,최창민,875,0.00%,-,-,875,0.00%
15,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,이진혁,1250,0.01%,-,-,1250,0.00%
16,금융회사,키움증권(주),동일인측,등기된 임원,등기된 임원,이진환,305,0.00%,-,-,305,0.00%
17,금융회사,키움증권(주),동일인측,자기주식,자기주식,키움증권(주),500000,2.26%,-,-,500000,1.97%
18,금융회사,키움증권(주),동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)다우기술,10799540,48.87%,-,-,10799540,42.53%
19,금융회사,키움증권(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
20,금융회사,키움증권(주),동일인측,동일인측 합계,동일인측 합계,/,11309747,51.18%,-,-,11309747,44.54%
21,금융회사,키움증권(주),기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
22,금융회사,키움증권(주),기타주주,기타,기타,-,10789993,48.82%,3293173,100.00%,14083166,55.46%
23,금융회사,키움증권(주),총 계,총 계,총 계,/,22099740,100.00%,3293173,100.00%,25392913,100.00%
24,금융회사,(주)키움예스저축은행,동일인측,동일인,동일인,-,-,-,-,-,-,-
25,금융회사,(주)키움예스저축은행,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
26,금융회사,(주)키움예스저축은행,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
27,금융회사,(주)키움예스저축은행,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
28,금융회사,(주)키움예스저축은행,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
29,금융회사,(주)키움예스저축은행,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
30,금융회사,(주)키움예스저축은행,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
31,금융회사,(주)키움예스저축은행,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
32,금융회사,(주)키움예스저축은행,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
33,금융회사,(주)키움예스저축은행,동일인측,친족,친족 합계,/,-,-,-,-,-,-
34,금융회사,(주)키움예스저축은행,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
35,금융회사,(주)키움예스저축은행,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
36,금융회사,(주)키움예스저축은행,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
37,금융회사,(주)키움예스저축은행,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
38,금융회사,(주)키움예스저축은행,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
39,금융회사,(주)키움예스저축은행,동일인측,계열회사(국내+해외),계열회사(국내+해외),키움증권(주),2000000,100.00%,-,-,2000000,100.00%
40,금융회사,(주)키움예스저축은행,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
41,금융회사,(주)키움예스저축은행,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
42,금융회사,(주)키움예스저축은행,동일인측,동일인측 합계,동일인측 합계,/,2000000,100.00%,-,-,2000000,100.00%
43,금융회사,(주)키움예스저축은행,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
44,금융회사,(주)키움예스저축은행,기타주주,기타,기타,-,-,-,-,-,-,-
45,금융회사,(주)키움예스저축은행,총 계,총 계,총 계,/,2000000,100.00%,-,-,2000000,100.00%
46,금융회사,(주)키움저축은행,동일인측,동일인,동일인,-,-,-,-,-,-,-
47,금융회사,(주)키움저축은행,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
48,금융회사,(주)키움저축은행,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
49,금융회사,(주)키움저축은행,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
50,금융회사,(주)키움저축은행,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
51,금융회사,(주)키움저축은행,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
52,금융회사,(주)키움저축은행,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
53,금융회사,(주)키움저축은행,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
54,금융회사,(주)키움저축은행,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
55,금융회사,(주)키움저축은행,동일인측,친족,친족 합계,/,-,-,-,-,-,-
56,금융회사,(주)키움저축은행,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
57,금융회사,(주)키움저축은행,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
58,금융회사,(주)키움저축은행,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
59,금융회사,(주)키움저축은행,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
60,금융회사,(주)키움저축은행,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
61,금융회사,(주)키움저축은행,동일인측,계열회사(국내+해외),계열회사(국내+해외),키움증권(주),1468000,100.00%,-,-,1468000,100.00%
62,금융회사,(주)키움저축은행,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
63,금융회사,(주)키움저축은행,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
64,금융회사,(주)키움저축은행,동일인측,동일인측 합계,동일인측 합계,/,1468000,100.00%,-,-,1468000,100.00%
65,금융회사,(주)키움저축은행,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
66,금융회사,(주)키움저축은행,기타주주,기타,기타,-,-,-,-,-,-,-
67,금융회사,(주)키움저축은행,총 계,총 계,총 계,/,1468000,100.00%,-,-,1468000,100.00%
68,금융회사,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,동일인측,동일인,동일인,-,-,-,-,-,-,-
69,금융회사,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
70,금융회사,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
71,금융회사,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
72,금융회사,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
73,금융회사,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
