,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,금융회사,한국투자금융지주㈜,동일인측,동일인,동일인,김남구,11534636,20.70,-,-,11534636,18.73
1,금융회사,한국투자금융지주㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,금융회사,한국투자금융지주㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
3,금융회사,한국투자금융지주㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
4,금융회사,한국투자금융지주㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
5,금융회사,한국투자금융지주㈜,동일인측,친족,친족 합계,/,-,-,-,-,-,-
6,금융회사,한국투자금융지주㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
7,금융회사,한국투자금융지주㈜,동일인측,등기된 임원,등기된 임원,이강행,3000,0.01,-,-,3000,0.00
8,금융회사,한국투자금융지주㈜,동일인측,자기주식,자기주식,한국투자금융지주㈜,2987479,5.36,200000,3.41,3187479,5.18
9,금융회사,한국투자금융지주㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,-,-
10,금융회사,한국투자금융지주㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
11,금융회사,한국투자금융지주㈜,동일인측,동일인측 합계,동일인측 합계,/,14525115,26.07,200000,3.41,14725115,23.91
12,금융회사,한국투자금융지주㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
13,금융회사,한국투자금융지주㈜,기타주주,기타,기타,/,41200877,73.93,5658251,96.59,46859128,76.09
14,금융회사,한국투자금융지주㈜,총 계,총 계,총 계,/,55725992,100.00,5858251,100.00,61584243,100.00
15,금융회사,한국투자증권㈜,동일인측,동일인,동일인,-,-,-,-,-,-,-
16,금융회사,한국투자증권㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
17,금융회사,한국투자증권㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
18,금융회사,한국투자증권㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
19,금융회사,한국투자증권㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
20,금융회사,한국투자증권㈜,동일인측,친족,친족 합계,/,-,-,-,-,-,-
21,금융회사,한국투자증권㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
22,금융회사,한국투자증권㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
23,금융회사,한국투자증권㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
24,금융회사,한국투자증권㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자금융지주㈜,35163340,100.00,-,-,35163340,100.00
25,금융회사,한국투자증권㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
26,금융회사,한국투자증권㈜,동일인측,동일인측 합계,동일인측 합계,/,35163340,100.00,-,-,35163340,100.00
27,금융회사,한국투자증권㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
28,금융회사,한국투자증권㈜,기타주주,기타,기타,/,-,-,-,-,-,-
29,금융회사,한국투자증권㈜,총 계,총 계,총 계,/,35163340,100.00,-,-,35163340,100.00
30,금융회사,한국투자신탁운용㈜,동일인측,동일인,동일인,-,-,-,-,-,-,-
31,금융회사,한국투자신탁운용㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
32,금융회사,한국투자신탁운용㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
33,금융회사,한국투자신탁운용㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
34,금융회사,한국투자신탁운용㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
35,금융회사,한국투자신탁운용㈜,동일인측,친족,친족 합계,/,-,-,-,-,-,-
36,금융회사,한국투자신탁운용㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
37,금융회사,한국투자신탁운용㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
38,금융회사,한국투자신탁운용㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
39,금융회사,한국투자신탁운용㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자증권㈜,13200000,100.00,-,-,13200000,100.00
40,금융회사,한국투자신탁운용㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
41,금융회사,한국투자신탁운용㈜,동일인측,동일인측 합계,동일인측 합계,/,13200000,100.00,-,-,13200000,100.00
42,금융회사,한국투자신탁운용㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
43,금융회사,한국투자신탁운용㈜,기타주주,기타,기타,/,-,-,-,-,-,-
44,금융회사,한국투자신탁운용㈜,총 계,총 계,총 계,/,13200000,100.00,-,-,13200000,100.00
45,금융회사,한국투자밸류자산운용㈜,동일인측,동일인,동일인,-,-,-,-,-,-,-
46,금융회사,한국투자밸류자산운용㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
47,금융회사,한국투자밸류자산운용㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
48,금융회사,한국투자밸류자산운용㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
49,금융회사,한국투자밸류자산운용㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
50,금융회사,한국투자밸류자산운용㈜,동일인측,친족,친족 합계,/,-,-,-,-,-,-
51,금융회사,한국투자밸류자산운용㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
52,금융회사,한국투자밸류자산운용㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
53,금융회사,한국투자밸류자산운용㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
54,금융회사,한국투자밸류자산운용㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자증권㈜,2484000,100.00,-,-,2484000,100.00
55,금융회사,한국투자밸류자산운용㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
56,금융회사,한국투자밸류자산운용㈜,동일인측,동일인측 합계,동일인측 합계,/,2484000,100.00,-,-,2484000,100.00
57,금융회사,한국투자밸류자산운용㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
58,금융회사,한국투자밸류자산운용㈜,기타주주,기타,기타,/,-,-,-,-,-,-
59,금융회사,한국투자밸류자산운용㈜,총 계,총 계,총 계,/,2484000,100.00,-,-,2484000,100.00
60,금융회사,한국투자캐피탈㈜,동일인측,동일인,동일인,-,-,-,-,-,-,-
61,금융회사,한국투자캐피탈㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
62,금융회사,한국투자캐피탈㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
63,금융회사,한국투자캐피탈㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
64,금융회사,한국투자캐피탈㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
65,금융회사,한국투자캐피탈㈜,동일인측,친족,친족 합계,/,-,-,-,-,-,-
66,금융회사,한국투자캐피탈㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
67,금융회사,한국투자캐피탈㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
68,금융회사,한국투자캐피탈㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
69,금융회사,한국투자캐피탈㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자금융지주㈜,9200000,100.00,-,-,9200000,100.00
70,금융회사,한국투자캐피탈㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
71,금융회사,한국투자캐피탈㈜,동일인측,동일인측 합계,동일인측 합계,/,9200000,100.00,-,-,9200000,100.00
72,금융회사,한국투자캐피탈㈜,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
73,금융회사,한국투자캐피탈㈜,기타주주,기타,기타,/,-,-,-,-,-,-
74,금융회사,한국투자캐피탈㈜,총 계,총 계,총 계,/,9200000,100.00,-,-,9200000,100.00
75,금융회사,㈜한국투자저축은행,동일인측,동일인,동일인,-,-,-,-,-,-,-
76,금융회사,㈜한국투자저축은행,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
77,금융회사,㈜한국투자저축은행,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
78,금융회사,㈜한국투자저축은행,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
79,금융회사,㈜한국투자저축은행,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
80,금융회사,㈜한국투자저축은행,동일인측,친족,친족 합계,/,-,-,-,-,-,-
81,금융회사,㈜한국투자저축은행,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
82,금융회사,㈜한국투자저축은행,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
83,금융회사,㈜한국투자저축은행,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
84,금융회사,㈜한국투자저축은행,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자금융지주㈜,13052575,100.00,120000,100.00,13172575,100.00
85,금융회사,㈜한국투자저축은행,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
86,금융회사,㈜한국투자저축은행,동일인측,동일인측 합계,동일인측 합계,/,13052575,100.00,120000,100.00,13172575,100.00
87,금융회사,㈜한국투자저축은행,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
88,금융회사,㈜한국투자저축은행,기타주주,기타,기타,/,-,-,-,-,-,-
89,금융회사,㈜한국투자저축은행,총 계,총 계,총 계,/,13052575,100.00,120000,100.00,13172575,100.00
90,금융회사,한국투자부동산신탁㈜,동일인측,동일인,동일인,-,-,-,-,-,-,-
91,금융회사,한국투자부동산신탁㈜,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
92,금융회사,한국투자부동산신탁㈜,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
93,금융회사,한국투자부동산신탁㈜,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
94,금융회사,한국투자부동산신탁㈜,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
95,금융회사,한국투자부동산신탁㈜,동일인측,친족,친족 합계,-,-,-,-,-,-,-
96,금융회사,한국투자부동산신탁㈜,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
97,금융회사,한국투자부동산신탁㈜,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
98,금융회사,한국투자부동산신탁㈜,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
99,금융회사,한국투자부동산신탁㈜,동일인측,계열회사(국내+해외),계열회사(국내+해외),한국투자금융지주㈜,5990000,59.90,-,-,5990000,59.90
100,금융회사,한국투자부동산신탁㈜,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
101,금융회사,한국투자부동산신탁㈜,동일인측,동일인측 합계,동일인측 합계,-,5990000,59.90,-,-,5990000,59.90
