,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비 금 융 회 사,(주)한화,동일인측,동일인,동일인,김승연,16977949,22.65,1470000,6.40,18447949,18.84
1,비 금 융 회 사,(주)한화,동일인측,친족,배우자/혈족1촌,김동관,3330000,4.44,860654,3.75,4190654,4.28
2,비 금 융 회 사,(주)한화,동일인측,친족,배우자/혈족1촌,김동원,1250000,1.67,,-,1250000,1.28
3,비 금 융 회 사,(주)한화,동일인측,친족,배우자/혈족1촌,김동선,1250000,1.67,,-,1250000,1.28
4,비 금 융 회 사,(주)한화,동일인측,친족,배우자/혈족1촌,서영민,1061676,1.42,,-,1061676,1.08
5,비 금 융 회 사,(주)한화,동일인측,친족,혈족2~4촌,,,-,,-,-,-
6,비 금 융 회 사,(주)한화,동일인측,친족,혈족5~6촌,,,-,,-,-,-
7,비 금 융 회 사,(주)한화,동일인측,친족,인척 4촌 이내,,,-,,-,-,-
8,비 금 융 회 사,(주)한화,동일인측,친족,친족 합계,,6891676,9.19,860654,3.75,7752330,7.92
9,비 금 융 회 사,(주)한화,동일인측,비영리법인,비영리법인,북일학원,1371105,1.83,,-,1371105,1.40
10,비 금 융 회 사,(주)한화,동일인측,등기된 임원,등기된 임원,금춘수,31000,0.04,20000,0.09,51000,0.05
11,비 금 융 회 사,(주)한화,동일인측,등기된 임원,등기된 임원,옥경석,7250,0.01,,-,7250,0.01
12,비 금 융 회 사,(주)한화,동일인측,등기된 임원,등기된 임원,이민석,9150,0.01,402,0.00,9552,0.01
13,비 금 융 회 사,(주)한화,동일인측,등기된 임원,등기된 임원,서광명,3490,0.00,12160,0.05,15650,0.02
14,비 금 융 회 사,(주)한화,동일인측,자기주식,자기주식,㈜한화,6060012,8.08,,-,6060012,6.19
15,비 금 융 회 사,(주)한화,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치솔루션㈜,3150000,4.20,1101450,4.80,4251450,4.34
16,비 금 융 회 사,(주)한화,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,-,-,-
17,비 금 융 회 사,(주)한화,동일인측,동일인측 합계,동일인측 합계,,34501632,46.03,3464666,15.10,37966298,38.78
18,비 금 융 회 사,(주)한화,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,-,-,-
19,비 금 융 회 사,(주)한화,기타주주,기타,기타,,40457103,53.97,19486628,84.90,59943731,61.22
20,비 금 융 회 사,(주)한화,총계,총계,총계,,74958735,100.00,22951294,100.00,97910029,100.00
21,비 금 융 회 사,한화솔루션(주),동일인측,동일인,동일인,-,-,-,-,-,-,-
22,비 금 융 회 사,한화솔루션(주),동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
23,비 금 융 회 사,한화솔루션(주),동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
24,비 금 융 회 사,한화솔루션(주),동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
25,비 금 융 회 사,한화솔루션(주),동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
26,비 금 융 회 사,한화솔루션(주),동일인측,친족,친족 합계,,-,-,-,-,-,-
27,비 금 융 회 사,한화솔루션(주),동일인측,비영리법인,비영리법인,북일학원,250521,0.16,-,-,250521,0.16
28,비 금 융 회 사,한화솔루션(주),동일인측,등기된 임원,등기된 임원,김창범,15000,0.01,-,-,15000,0.01
29,비 금 융 회 사,한화솔루션(주),동일인측,등기된 임원,등기된 임원,이구영,9010,0.01,-,-,9010,0.01
30,비 금 융 회 사,한화솔루션(주),동일인측,등기된 임원,등기된 임원,류두형,88,0.00,-,-,88,0.00
31,비 금 융 회 사,한화솔루션(주),동일인측,자기주식,자기주식,-,400000,0.25,-,-,400000,0.25
32,비 금 융 회 사,한화솔루션(주),동일인측,계열회사,계열회사,㈜한화,59545978,37.25,-,-,59545978,36.99
33,비 금 융 회 사,한화솔루션(주),동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,-,-
34,비 금 융 회 사,한화솔루션(주),동일인측,동일인측 합계,동일인측 합계,/,60220597,37.67,-,-,60220597,37.41
35,비 금 융 회 사,한화솔루션(주),기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,국민연금,18242610,11.41,-,-,18242610,11.33
36,비 금 융 회 사,한화솔루션(주),기타주주,기타,기타,/,81401290,50.92,1123737,100.00,82525027,51.26
37,비 금 융 회 사,한화솔루션(주),총계,총계,총계,/,159864497,100.00,1123737,100.00,160988234,100.00
38,비 금 융 회 사,한화컴파운드㈜,동일인측,동일인,동일인,,,-,,,-,-
39,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,배우자/혈족1촌,,,-,,,-,-
40,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,배우자/혈족1촌,,,-,,,-,-
41,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,배우자/혈족1촌,,,-,,,-,-
42,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,배우자/혈족1촌,,,-,,,-,-
43,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,혈족2~4촌,,,-,,,-,-
44,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,혈족5~6촌,,,-,,,-,-
45,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,인척 4촌 이내,,,-,,,-,-
46,비 금 융 회 사,한화컴파운드㈜,동일인측,친족,친족 합계,,-,-,-,,-,-
47,비 금 융 회 사,한화컴파운드㈜,동일인측,비영리법인,비영리법인,,,-,,,-,-
48,비 금 융 회 사,한화컴파운드㈜,동일인측,등기된 임원,등기된 임원,,,-,,,-,-
49,비 금 융 회 사,한화컴파운드㈜,동일인측,등기된 임원,등기된 임원,,,-,,,-,-
50,비 금 융 회 사,한화컴파운드㈜,동일인측,등기된 임원,등기된 임원,,,-,,,-,-
51,비 금 융 회 사,한화컴파운드㈜,동일인측,등기된 임원,등기된 임원,,,-,,,-,-
