,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,㈜효성,동일인측,동일인,동일인,조석래,1986333.0,9.43%,,,1986333,9.43%
1,비금융회사,㈜효성,동일인측,친족,배우자/혈족1촌,조현준,4623736.0,21.94%,,,4623736,21.94%
2,비금융회사,㈜효성,동일인측,친족,배우자/혈족1촌,조현상,4513596.0,21.42%,,,4513596,21.42%
3,비금융회사,㈜효성,동일인측,친족,배우자/혈족1촌,송광자,101387.0,0.48%,,,101387,0.48%
4,비금융회사,㈜효성,동일인측,친족,혈족2~4촌,조인영,18643.0,0.09%,,,18643,0.09%
5,비금융회사,㈜효성,동일인측,친족,혈족2~4촌,조인서,18643.0,0.09%,,,18643,0.09%
6,비금융회사,㈜효성,동일인측,친족,혈족2~4촌,조재현,13400.0,0.06%,,,13400,0.06%
7,비금융회사,㈜효성,동일인측,친족,혈족2~4촌,조인희,13400.0,0.06%,,,13400,0.06%
8,비금융회사,㈜효성,동일인측,친족,혈족2~4촌,조수인,13400.0,0.06%,,,13400,0.06%
9,비금융회사,㈜효성,동일인측,친족,혈족2~4촌,조재하,13400.0,0.06%,,,13400,0.06%
10,비금융회사,㈜효성,동일인측,친족,혈족5~6촌,,,,,,,
11,비금융회사,㈜효성,동일인측,친족,인척 4촌이내,,,,,,,
12,비금융회사,㈜효성,동일인측,친족,친족 합계,,9329605.0,44.28%,,,9329605,44.28%
13,비금융회사,㈜효성,동일인측,비영리법인,비영리법인,동양학원,293519.0,1.39%,,,293519,1.39%
14,비금융회사,㈜효성,동일인측,등기된 임원,등기된 임원,이상운,1418.0,0.01%,,,1418,0.01%
15,비금융회사,㈜효성,동일인측,등기된 임원,등기된 임원,이천규,196.0,0.00%,,,196,0.00%
16,비금융회사,㈜효성,동일인측,자기주식,자기주식,자기주식,958201.0,4.55%,,,958201,4.55%
17,비금융회사,㈜효성,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,
